chipset,benchmark
GeForce RTX 5090 D,42306
GeForce RTX 5090,39450
GeForce RTX 4090,38193
GeForce RTX 5080,36463
GeForce RTX 4080,34452
GeForce RTX 4080 SUPER,34270
GeForce RTX 5070 Ti,32966
GeForce RTX 4090 D,32260
GeForce RTX 4070 Ti SUPER,31808
RTX PRO 6000 Blackwell Max-Q Workstation Edition,31615
GeForce RTX 4070 Ti,31611
RTX PRO 4500 Blackwell,31554
RTX PRO 6000 Blackwell Workstation Edition,31319
Radeon RX 7900 XTX,31263
RTX 5000 Ada Generation,30720
GeForce RTX 4070 SUPER,29991
RTX PRO 5000 Blackwell Generation Laptop GPU,29872
Radeon AI PRO R9700,29831
GeForce RTX 5090 Laptop GPU,29614
GeForce RTX 3090 Ti,29441
GeForce RTX 5070,29082
Radeon RX 7900 XT,29011
RTX 6000 Ada Generation,28775
RTX PRO 4000 Blackwell Generation Laptop GPU,28634
Radeon PRO W7900,28261
Radeon RX 6950 XT,28057
RTX 4500 Ada Generation,27564
GeForce RTX 5080 Laptop GPU,27481
GeForce RTX 4090 Laptop GPU,27228
Radeon PRO W7800,27061
Radeon RX 7900 GRE,27053
RTX PRO 3000 Blackwell Generation Laptop GPU,26959
GeForce RTX 4070,26925
GeForce RTX 3080 Ti,26891
Radeon RX 9070 XT,26841
Radeon RX 6900 XT,26730
GeForce RTX 3090,26634
GeForce RTX 3080 12GB,26561
Radeon RX 9070,25444
RTX 3500 Ada Generation Embedded GPU,25189
RTX 5880 Ada Generation,25096
GeForce RTX 3080,25086
Radeon RX 6800 XT,24976
GeForce RTX 4080 Laptop GPU,24903
Radeon RX 7800 XT,24184
RTX 4000 Ada Generation,24023
GeForce RTX 5070 Ti Laptop GPU,23718
RTX 5000 Ada Generation Laptop GPU,23598
GeForce RTX 3070 Ti,23336
Radeon PRO W7700,23184
GeForce RTX 5060 Ti 16GB,22853
GeForce RTX 4060 Ti 16GB,22738
Radeon RX 9070 GRE,22714
Racer-Tech USB Display Device,22706
GeForce RTX 4060 Ti,22691
GeForce RTX 5060 Ti 8GB,22632
Radeon RX 7900M,22627
RTX A5000,22610
RTX A6000,22606
Radeon RX 7700 XT,22543
nVidia L40,22466
GeForce RTX 3070,22207
A10-24Q,22158
Radeon RX 6800,22064
RTX 4000 Ada Generation Laptop GPU,22050
GRID RTX6000-6Q,21987
NVIDIA A10,21687
GeForce RTX 2080 Ti,21540
Meta Virtual Monitor,21467
RTX A4500,21261
RTX A5500,21181
Virtual Desktop Monitor,20961
GeForce RTX 5060,20720
Radeon RX 6750 XT,20696
TITAN RTX,20491
GeForce RTX 5070 Laptop GPU,20476
RTX 4000 SFF Ada Generation,20420
GeForce RTX 3060 Ti,20334
Radeon RX 6750 GRE 12GB,20333
RTX 5000 Ada Generation Embedded GPU,20312
Radeon PRO W6800,20110
Radeon RX 9060 XT 16GB,20088
Radeon RX 9060 XT 8GB,20037
L40S,20023
TITAN V,19917
Quadro RTX 8000,19799
Radeon RX 6700 XT,19789
RTX 3500 Ada Generation Laptop GPU,19743
GeForce RTX 4070 Laptop GPU,19581
GeForce RTX 4060,19546
GeForce RTX 2080 SUPER,19482
Quadro GV100,19456
RTX A4000,19455
GeForce RTX 3080 Ti Laptop GPU,19248
Radeon RX 6700,18910
OrayIddDriver Device,18852
SudoMaker Virtual Display Adapter,18780
NVIDIA TITAN Xp,18776
TITAN Xp COLLECTORS EDITION,18710
GeForce RTX 2080,18710
GeForce GTX 1080 Ti,18598
Radeon RX 6750 GRE 10GB,18519
GeForce RTX 5060 Laptop GPU,18217
Quadro RTX 6000,18207
GeForce RTX 2070 SUPER,18166
Radeon 8060S,17749
GeForce RTX 3070 Ti Laptop GPU,17711
Parsec Virtual Display Adapter,17696
NVIDIA A10G,17660
Radeon Pro W5700X,17591
GeForce RTX 5050,17525
GeForce RTX 4060 Laptop GPU,17452
Radeon Pro W6900X,17413
RTX A5500 Laptop GPU,17226
Radeon RX 6650 XT,17175
Radeon RX 6850M XT,17165
RTX 2000 Ada Generation,17164
Radeon RX 7600 XT,17139
Radeon RX 6650M XT,17071
EIZO Quadro MED-XN92,17036
TITAN V CEO Edition,16988
GeForce RTX 3060,16893
RTX PRO 2000 Blackwell Generation Laptop GPU,16834
GeForce RTX 3060 12GB,16803
GeForce RTX 5050 Laptop GPU,16649
Radeon RX 7600,16628
RTX A4500 Laptop GPU,16606
Radeon RX 5700 XT 50th Anniversary,16483
GeForce RTX 2060 SUPER,16464
Radeon RX 6600 XT,16457
Radeon PRO W7600,16413
Radeon VII,16360
GeForce RTX 3080 Laptop GPU,16323
Radeon RX 7800M,16291
Radeon RX 5700 XT,16263
GeForce RTX 2070,16105
RTX 3000 Ada Generation Laptop GPU,15959
Radeon RX 6800S,15934
GeForce RTX 2060 12GB,15926
Radeon 8050S,15924
RTX A5000 Laptop GPU,15870
Radeon RX 7650 GRE,15824
Intel Arc B580,15813
Radeon RX 7700S,15646
Radeon Pro V620 MxGPU,15633
Radeon Pro Vega II,15597
Quadro RTX 5000,15596
GeForce GTX 1080,15585
Radeon Pro W6800X Duo,15557
RTX 2000 Ada Generation Embedded GPU,15505
Quadro P6000,15483
GeForce RTX 3070 Laptop GPU,15297
Radeon RX 7600S,15289
GeForce RTX 3060 8GB,15229
USB Mobile Monitor Virtual Display,15222
RTX PRO 1000 Blackwell Generation Laptop GPU,15172
Quadro RTX 4000,15109
Radeon PRO W6600,15096
Radeon RX 6600,15089
RTX 2000 Ada Generation Laptop GPU,15085
Radeon RX 6650M,15064
Radeon RX 6700S,15063
GeForce RTX 2080 (Mobile),15014
Quadro RTX 5000 (Mobile),14832
RTX A4000 Laptop GPU,14788
GeForce GTX 1070 Ti,14686
Radeon Pro W5700,14520
RadeonT RX 6850M XT,14442
GeForce RTX 4050 Laptop GPU,14407
RTX 2000E Ada Generation,14370
RTX PRO 2000 Blackwell,14363
Radeon RX 7600M XT,14323
Radeon RX 5700,14311
Quadro GP100,14286
Intel Arc B570,14235
GeForce RTX 2060,14119
Radeon RX Vega 64,14026
Radeon Pro Vega II Duo,14018
CXDisplay Device,13988
Radeon RX 6600M,13944
NVIDIA A40,13900
RTX A3000 12GB Laptop GPU,13741
GeForce GTX 980 Ti,13713
RTX A2000 12GB,13695
NVIDIA TITAN X,13660
Tesla V100-SXM2-16GB,13625
GeForce RTX 2080 Super with Max-Q Design,13594
GeForce RTX 2070 Super with Max-Q Design,13585
RTX A2000,13520
GeForce GTX 1070,13500
Radeon RX 6700M,13484
Radeon RX 6600 LE,13460
Radeon RX 5600 XT,13452
nVidia L20,13430
RTX 1000 Ada Generation Laptop GPU,13420
Radeon Pro Vega 64X,13369
Radeon PRO W7500,13357
A100-SXM4-40GB,13326
Radeon Pro VII,13313
Radeon RX 6800M,13281
Intel Arc A770,13267
GeForce RTX 3060 Laptop GPU,13217
Radeon PRO W7900 Dual Slot,13182
Radeon PRO V710 MxGPU,13130
Radeon PRO W6600X,13113
Radeon RX Vega 56,13074
RTX PRO 500 Blackwell Generation Laptop GPU,13053
Quadro RTX 5000 with Max-Q Design,13018
A10G,12907
Radeon Pro Vega 64,12891
Radeon Vega Frontier Edition,12873
GeForce GTX 1660 Ti,12844
RTX A3000 Laptop GPU,12829
Radeon RX 7600M,12805
GeForce RTX 2080 with Max-Q Design,12797
Radeon Pro WX 8200,12783
GeForce GTX TITAN X,12726
GeForce GTX 1660 SUPER,12699
Radeon RX 6600S,12678
Quadro P5000,12628
Tesla T10,12558
Intel Arc A750,12553
Radeon Pro 5700 XT,12547
GeForce RTX 3050 8GB,12546
GeForce RTX 2070 (Mobile),12357
Radeon Pro Vega 56,12354
Tesla V100-PCIE-16GB,12328
Quadro P5200 with Max-Q Design,12308
Quadro RTX 4000 with Max-Q Design,12292
Radeon RX 5600 OEM,12287
Radeon RX 6850M,12274
Radeon Pro WX 9100,12259
Radeon Pro V520 MxGPU,12258
GeForce RTX 3050 Laptop GPU,12144
Intel Arc A580,12035
Tesla P40,12021
GeForce RTX 3050 OEM,11874
Tesla P100-PCIE-16GB,11814
Quadro M6000,11808
Quadro P5200,11801
Quadro M6000 24GB,11782
Intel Arc A770M,11757
Quadro RTX 4000 (Mobile),11748
Radeon RX 5600,11740
Quadro P4200 with Max-Q Design,11703
L40-8Q,11670
GeForce GTX 1660,11644
GeForce RTX 3050 A Laptop GPU,11596
GeForce GTX 1080 with Max-Q Design,11505
GeForce RTX 2070 with Max-Q Design,11498
Quadro P4000,11474
Radeon Pro 5700,11469
RTX A1000 Embedded GPU,11461
GeForce RTX 2060 (Mobile),11353
Radeon PRO W6600M,11287
Radeon Pro Vega 48,11270
GeForce GTX 980,11088
RTX 500 Ada Generation Laptop GPU,11002
Radeon Pro SSG,10972
Quadro RTX 3000,10957
RTX A2000 Embedded GPU,10860
RTX A1000,10778
GeForce RTX 3050 6GB,10720
Tesla T4,10647
Tesla M40 24GB,10641
RTX A2000 8GB Laptop GPU,10613
GeForce GTX 1070 (Mobile),10465
A40-48Q,10436
Quadro P4200,10419
SuperDisplay Virtual Adapter,10390
Tesla M40,10220
GeForce GTX 1650 SUPER,10182
GeForce RTX 3050 6GB Laptop GPU,10180
GeForce GTX 1660 Ti (Mobile),10139
GeForce RTX 3050 Ti Laptop GPU,10093
GeForce GTX 1060,10078
RTX A1000 6GB Laptop GPU,10061
GRID P40-2B,9842
GeForce GTX 1070 with Max-Q Design,9813
Intel Arc A730M,9808
GeForce GTX 1060 3GB,9807
Radeon RX 6550M,9743
Radeon R9 Fury + Fury X,9741
GeForce RTX 2060 with Max-Q Design,9728
RTX A2000 Laptop GPU,9650
GeForce GTX 970,9635
Radeon RX 6500 XT,9607
L4,9560
Radeon RX Vega Ryzen 5 5600GT,9558
Radeon R9 Fury,9539
6FDF:FF,9529
RTX A1000 Laptop GPU,9519
GeForce RTX 3050 4GB Laptop GPU,9499
A10-12Q,9493
GeForce GTX 780 Ti,9465
Ryzen 9 4900HSS with Radeon Graphics,9461
Quadro M5000,9431
Radeon R9 Fury X,9384
Intel Arc Pro A60,9378
Quadro P2200,9376
Radeon RX 590,9346
Radeon R9 390X,9326
Radeon Pro 5600M,9279
GeForce GTX TITAN Black,9184
Tesla P4,9118
Inspiration CG620 MxGPU,9106
GeForce GTX 1060 5GB,9100
Quadro P3200 with Max-Q Design,9099
Quadro P4000 with Max-Q Design,9083
Radeon RX 5500 XT,9081
EIZO Quadro MED-XN72,9037
Radeon Pro W5500,8972
CMP 40HX,8945
Radeon R9 390,8874
Radeon RX 5600M,8861
GeForce GTX TITAN Z,8811
Radeon RX 580,8811
Radeon RX 5500,8807
Radeon R9 295X2,8715
Radeon 610M Ryzen 9 7845HX,8669
GeForce GTX 1660 Ti with Max-Q Design,8573
Radeon RX 480,8567
Quadro P3200,8559
EIZO Quadro MED-XN71,8518
RTX A4500 Embedded GPU,8485
GRID RTX6000-1B,8473
Radeon R9 290X,8444
Miracast display port driver V3,8422
Radeon RX590 GME,8404
RemotePC Adapter,8381
Radeon R9 290X / 390X,8380
Ryzen 5 4600HS with Radeon Graphics,8371
Radeon Pro Duo,8299
Tesla V100-PCIE-32GB,8260
Radeon 890M,8254
GeForce GTX Titan,8198
Radeon R9 290,8193
GRID P40-2B4,8160
GeForce GTX 1060 (Mobile),8160
Radeon R9 290 / 390,8150
Quadro RTX 3000 with Max-Q Design,8126
Quadro K6000,8068
Radeon PRO W6400,8028
Ryzen 9 6900HS,8005
Intel Arc A530M,7964
GRID P40-24Q,7956
GeForce GTX 780,7953
Radeon RX 470/570,7944
Quadro M5500,7915
Radeon Pro 5500 XT,7883
GeForce GTX 1650,7874
GeForce GTX 1060 with Max-Q Design,7862
L4-8Q,7847
Radeon Pro 580,7753
GeForce RTX 2050,7753
FirePro W9100,7748
T1200 Laptop GPU,7745
Radeon Pro WX 7100,7723
Radeon 880M,7697
Radeon RX 6400,7686
T1000 8GB,7672
Radeon RX 780,7658
Tesla M60,7652
Radeon RX 580 2048SP,7651
T1000,7637
Radeon RX 580X,7624
Radeon RX 5300,7588
GRID P40-1Q,7572
Radeon RX 6500M,7550
Radeon Pro 580X,7540
GeForce GTX 1650 Ti,7529
GRID P40-8Q,7507
Radeon RX 6500,7497
Radeon Pro W5500X,7351
GeForce GTX 980M,7341
Quadro T2000,7246
Radeon Pro 5300,7125
RadeonT 780M,7091
Quadro M5000M,7056
A10-8Q,7038
Ryzen 9 4900HS with Radeon Graphics,7022
T600 Laptop GPU,7011
spacedesk Adapter,7010
Ryzen 7 4800HS with Radeon Graphics,6999
GeForce GTX 1650 (Mobile),6968
Quadro P2000,6958
Radeon 780M,6947
Quadro T2000 with Max-Q Design,6885
Intel Arc 140T GPU,6809
Radeon Ryzen 9 6900HS,6796
Radeon Pro 5500M,6735
Quadro T1000 with Max-Q Design,6729
GeForce GTX 970XM FORCE,6707
FirePro W8100,6705
P106-100,6681
Radeon R9 285,6680
Quadro M4000,6680
Intel Arc Pro 140T GPU,6672
RTX A500 Laptop GPU,6655
GeForce GTX 1650 Ti with Max-Q Design,6561
Radeon RX Vega M GH,6557
AMD Ryzen Z1 Extreme,6482
T600,6481
Quadro T1000,6478
Quadro P3000,6460
Intel Arc A380E,6438
Radeon RX 6300M,6421
Radeon Pro WX 7130,6406
GeForce GTX 1050 Ti,6341
Radeon Pro 570,6337
Intel Arc A380,6263
GeForce GTX 1650 with Max-Q Design,6262
Intel Arc 130T GPU,6248
Ryzen 7 6800HS with Radeon Graphics,6240
GRID P4-4Q,6235
Tesla M6,6226
GeForce MX570 A,6178
Ryzen 9 PRO 6950H with Radeon Graphics,6176
Quadro K5200,6167
FirePro W9000,6157
Radeon R9 380X,6146
Quadro M4000M,6129
GeForce GTX 960,6121
Ryzen 9 6900HS with Radeon Graphics,6110
Radeon R9 280X,6108
Radeon R9 380,6038
Radeon Ryzen 7 6800HS,6012
RTX A400,5983
GRID P100-16Q,5945
GeForce GTX 770,5945
Radeon Ryzen 7 6810U,5937
GeForce GTX 1050 Ti (Mobile),5918
Radeon Pro 5300M,5911
Radeon RX 5500M,5882
Intel Arc Pro A30M,5862
RadeonT 760M,5846
A40-3Q,5842
Radeon Ryzen 7 7736U,5819
Matrox LUMA A380P,5811
Ryzen 7 PRO 6850H with Radeon Graphics,5791
Intel Arc Pro,5774
Radeon Ryzen 9 PRO 6950H,5764
Ryzen 9 PRO 6950H,5759
GRID P40-12Q,5752
GeForce MX570,5714
GeForce GTX 970M,5709
Eng Sample: 100-000000560-40_Y,5656
Intel Arc 140T,5635
RadeonT 680M Ryzen 7 7735HS,5627
Radeon 680M Ryzen 9 6900HX,5614
GeForce GTX 680,5603
Radeon PRO Ryzen 7 PRO 6850U,5582
Ryzen 7 PRO 6850U,5581
Radeon TM,5579
Radeon HD 7990,5566
Radeon PRO W6300,5560
Quadro M3000M,5551
Radeon R9 285 / 380,5550
Radeon R9 280,5542
GRID M60-8A,5523
Radeon 760M,5520
Intel Arc,5507
Radeon Pro WX 5100,5498
GeForce GTX 690,5486
Intel Arc Pro A40/A50,5478
L2,5467
Ryzen 7 6800HS Creator Edition,5465
Radeon Ryzen 7 PRO 6850H,5450
Intel Arc A310,5433
GeForce GTX 760 Ti OEM,5427
L40S-8Q,5414
RTX A500 Embedded GPU,5405
Radeon Ryzen 7 7735H,5370
Radeon Ryzen 7 6800HS Creator Edition,5363
GeForce GTX 670,5359
GeForce GTX 950,5350
Ryzen 9 5900HS with Radeon Graphics,5323
GeForce GTX 1050 Ti with Max-Q Design,5313
GeForce GTX 760 Ti,5307
Radeon RX 6300,5294
Quadro P2000 with Max-Q Design,5289
GRID P4-8Q,5283
A16,5281
CMP 30HX,5263
Radeon HD 7970 / R9 280X,5248
Ryzen 7 6800H,5248
Ryzen 7 6800HS,5237
Radeon HD 8990,5214
Intel Arc 140V GPU,5209
GRID M60-2Q,5203
Ryzen 7 7735HS with Radeon Graphics,5175
GRID RTX8000P-4Q,5174
GRID T4-8Q,5172
Radeon Pro Vega 20,5169
Q12U-1,5164
Radeon Ryzen 9 6900HS Creator Edition,5156
Ryzen 9 6900HX with Radeon Graphics,5155
Radeon R9 M295X,5150
Ryzen 7 Pro 7735U with Radeon Graphics,5142
Ryzen 7 PRO 6850U with Radeon Graphics,5116
Intel Arc A370M,5115
GeForce GTX 1050 3GB,5112
FirePro W7100,5107
Ryzen 7 7735U with Radeon Graphics,5081
Ryzen 7 PRO 6860Z,5077
GRID P40-4Q,5077
Radeon Ryzen 7 PRO 6850U,5071
FirePro S9000,5059
Radeon Ryzen 7 PRO 6850HS,5057
EIZO MED-XN44,5049
VNC Mirror Driver,5043
GeForce GTX 1050,5029
Ryzen 7 6800U,5006
Radeon Ryzen 7 7735HS,5000
Radeon Ryzen Z2 Go,5000
Radeon Ryzen 7 6800H,4998
GeForce GTX 1630,4981
Radeon R9 M395X,4974
Ryzen 7 6800H with Radeon Graphics,4960
EIZO Quadro MED-XN51LP,4951
Barco MXRT 7600,4944
Intel Arc A310 LP,4935
Radeon R9 M395,4929
L4-4Q,4927
RTXA5000-8Q,4916
GRID T4-16Q,4910
GRID P40-1A,4909
FirePro S9050,4901
Radeon R9 270X,4873
Ryzen 7 PRO 6860Z with Radeon Graphics,4869
Radeon 860M,4847
Radeon RX 5300M,4815
Radeon Pro WX Vega M GL,4814
Radeon Pro Vega 16,4809
GeForce GTX 760,4807
RTXA5000-24Q,4803
T550 Laptop GPU,4778
GRID RTX6000P-6Q,4777
FirePro S10000,4768
L4-24Q,4767
Radeon HD 7950 / R9 280,4765
Ryzen 7 6800U with Radeon Graphics,4760
A16-2Q,4747
Radeon R9 370,4722
L40-6Q,4718
Radeon Sky 500,4709
Radeon Ryzen 7 7735U,4705
Ryzen 9 PRO 6950HS with Radeon Graphics,4705
NVIDIA A40-8Q,4682
GRID V100D-2Q,4668
GeForce GTX 580,4636
Radeon HD 7870,4600
Radeon 680M,4593
Radeon Ryzen 7 PRO 6860Z,4576
Intel Arc 130V GPU,4572
Red Hat VirtIO GPU DOD controller,4561
B8DKMDAP,4557
Tesla K80,4539
Radeon Pro 465,4538
GeForce MX550,4526
FirePro S7000,4524
GRID RTX6000-8Q,4514
Quadro P1000,4510
Tesla K40c,4495
Radeon R7 370,4489
L4-6Q,4473
Radeon HD 7870 XT,4470
GeForce GTX 1050 (Mobile),4463
Radeon 660M Ryzen 5 6600H,4461
GRID M60-1B,4457
A16-16Q,4451
Tesla K20m,4432
GRID P6-4Q,4429
GeForce GTX 660 Ti,4408
Tesla K20Xm,4403
Radeon Instinct MI25 MxGPU,4403
A16-4Q,4386
L40S-12Q,4371
FirePro W7000 Adapter,4359
A16-8Q,4352
GRID GTX P40-6,4340
Radeon Ryzen 9 PRO 6950HS,4338
NVIDIA A40-12Q,4336
Quadro K4200,4332
Radeon 680M Ryzen 7 7735HS,4310
Radeon R9 270,4306
GRID RTX6000P-4Q,4283
Radeon Ryzen 7 6800U,4279
Quadro M2200,4277
FirePro W7000,4273
Radeon R9 270 / R7 370,4260
FirePro W8000,4259
RadeonT 660M Ryzen 5 6600H,4257
NVIDIA A40-4Q,4241
RTXA6000-8Q,4237
Radeon Ryzen 5 7535H w/,4233
Radeon Eng Sample: 100-000000536-40_Y,4211
Eng Sample: 100-000000561-40_Y,4206
GRID RTX8000P-12A,4166
GRID V100D-8Q,4156
GRID P40-2Q,4130
Winsta0\\Default,4125
Radeon RX 460,4093
Ryzen 7 PRO 6850HS with Radeon Graphics,4087
GeForce GTX 480,4075
L4-2Q,4062
RadeonT 660M Ryzen 5 7535HS,4051
Radeon HD 7800-serie,4029
GeForce GTX 660,4029
Quadro M2000,4016
Radeon PRO Ryzen 5 PRO 6650U,3999
GeForce GTX 1050 with Max-Q Design,3986
Quadro K5000,3979
GRID RTX8000-4Q,3961
GeForce GTX 570,3927
GRID P6-2Q,3926
GeForce GTX 750 Ti,3904
Radeon HD 7850,3887
GRID M60-8Q,3884
Radeon RX Vega M GL,3881
Radeon HD 8970M,3876
Matrox LUMA A310F,3873
L40S-48Q,3869
Radeon Ryzen 7 Pro 7735U,3856
Radeon R9 M390X,3851
GRID RTX8000P-2Q,3843
EIZO MED-XN43,3843
Radeon 840M,3839
GeForce GTX 965M,3832
GRID M60-4Q,3831
GeForce GTX 780M,3823
GeForce GTX 880M,3818
GRID V100-2Q,3811
T400 4GB,3803
FirePro S7150,3770
GRID T4-2Q,3765
Barco MXRT 7500,3753
Ryzen 5 Pro 7535U with Radeon Graphics,3750
Radeon Ryzen 5 6600HS Creator Edition,3743
Ryzen 5 PRO 6650H with Radeon Graphics,3727
GeForce MX450,3717
GRID M60-1Q,3695
Ryzen 5 6600HS Creator Edition,3691
Matrox LUMA A310,3690
GRID P40-1B,3690
GeForce GTX 775M,3688
Radeon Pro WX 4100,3688
GeForce GTX 680MX,3686
Ryzen 5 7535HS with Radeon Graphics,3680
Radeon Pro 560X,3678
Quadro P620,3677
Radeon Ryzen 5 PRO 6650U,3673
Radeon RX 560,3672
Radeon R9 M485X,3661
L40S-12A,3660
T500,3635
GRID T4-4Q,3635
P104-100,3614
T400,3600
Quadro K2200,3581
Ryzen 5 6600H with Radeon Graphics,3580
Radeon HD 7970M,3575
GRID RTX8000-2Q,3574
GeForce GTX 680M KY_Bullet Edition,3569
GRID M6-8Q,3568
VMware Horizon Indirect Display Driver,3565
L4-12Q,3544
Microsoft Basic Display Adapter Ryzen 5 3550H,3537
Ryzen 5 PRO 6650U with Radeon Graphics,3534
Radeon Ryzen 5 7533HS,3523
GeForce GTX 870M,3521
Ryzen 5 PRO 6650U,3519
GRID K520,3516
Quadro 7000,3505
Quadro K2200M,3497
Radeon Pro 560,3475
Radeon Pro W5500M,3470
GeForce GTX 960A,3465
Radeon Pro 460,3453
Radeon Ryzen 5 6600H,3451
Quadro M2000M,3432
A16-1Q,3431
Tesla C2050 / C2070,3428
Radeon RX 560X,3407
GeForce GTX 650 Ti BOOST,3401
GeForce GTX 960M,3371
Radeon HD8970M,3369
Radeon E8870PCIe,3368
P102-100,3356
GeForce GTX 590,3341
Ryzen 5 7535U with Radeon Graphics,3324
GeForce GTX 750,3323
Radeon Ryzen 7 4800H,3323
A40-24Q,3318
Quadro P600,3316
GRID P4-2A,3307
GRID T4-1Q,3303
Radeon 660M,3280
GeForce GTX 680M,3277
GRID P100-8Q,3267
L40S-24Q,3257
Custom GPU 0932,3255
Tesla M10,3249
GeForce 770M,3246
Snapdragon X Elite - X1E001DE - Qualcomm Adreno GP,3246
Radeon R9 M470X,3244
GRID P4-4A,3240
Ryzen 5 6600U with Radeon Graphics,3233
Radeon Ryzen 5 6600U,3232
Quadro K5100M,3230
Radeon Ryzen 9 7950X 16-Core,3229
Radeon R9 M290X,3218
Quadro M1200,3214
GRID P4-8A,3206
Radeon R7 260X,3192
Radeon Ryzen 5 7535U,3181
Tesla C2050,3176
FirePro V7000,3162
Intel Graphics,3155
GeForce GTX 470,3144
