name,microarchitecture,core_clock,boost_clock,cores
AMD Ryzen 5 5600X,AM4,3.7,4.6,6
AMD Ryzen 5 5500,AM4,3.6,4.2,6
AMD Ryzen 5 5600,AM4,3.5,4.4,6
AMD Ryzen 5 5600G,AM4,3.9,4.4,6
AMD Ryzen 5 7600,AM5,3.8,5.1,6
AMD Ryzen 5 7600X,AM5,4.7,5.3,6
AMD Ryzen 5 8400F,AM5,4.2,4.7,6
AMD Ryzen 5 8500G,AM5,4.1,5.0,6
AMD Ryzen 5 8600G,AM5,4.3,5.0,6
AMD Ryzen 7 5700G,AM4,3.8,4.6,8
AMD Ryzen 7 5700X,AM4,3.4,4.6,8
AMD Ryzen 7 5700X3D,AM4,3.0,4.1,8
AMD Ryzen 7 5800X,AM4,3.8,4.7,8
AMD Ryzen 7 5800X3D,AM4,3.4,4.5,8
AMD Ryzen 7 7700,AM5,3.8,5.3,8
AMD Ryzen 7 7700X,AM5,4.5,5.4,8
AMD Ryzen 7 7800X3D,AM5,4.2,5.0,8
AMD Ryzen 7 8700F,AM5,4.1,5.0,8
AMD Ryzen 7 8700G,AM5,4.2,5.1,8
AMD Ryzen 9 5900X,AM4,3.7,4.8,12
AMD Ryzen 9 5950X,AM4,3.4,4.9,16
AMD Ryzen 9 7900,AM5,3.7,5.4,12
AMD Ryzen 9 7900X,AM5,4.7,5.6,12
AMD Ryzen 9 7900X3D,AM5,4.4,5.6,12
AMD Ryzen 9 7950X,AM5,4.5,5.7,16
AMD Ryzen 9 7950X3D,AM5,4.2,5.7,16
Intel Core Ultra 5 245K,1851,4.2,5.2,6
Intel Core Ultra 5 245KF,1851,4.2,5.2,6
Intel Core Ultra 7 265K,1851,3.9,5.5,8
Intel Core Ultra 7 265KF,1851,3.9,5.5,8
Intel Core Ultra 9 285K,1851,3.7,5.7,8
AMD A10-6790K,FM2,4.0,4.3,4
AMD A10-7800,FM2+,3.5,3.9,2
AMD A10-7850K,FM2+,3.7,4.0,2
AMD A10-7860K,FM2+,3.6,4.0,2
AMD A10-7870K,FM2+,3.9,4.1,2
AMD A10-7890K,FM2+,4.1,4.3,2
AMD A10-9700,AM4,3.5,,4
AMD A10-9700E,AM4,,,4
AMD A12-9800,AM4,3.8,,4
AMD A12-9800E,AM4,3.1,,4
AMD A4-4020,"FM2, FM2+",3.2,3.4,1
AMD A4-5300,FM2,3.4,3.6,2
AMD A4-7300,FM2,3.8,4.0,1
AMD A6-6400K,FM2,3.9,4.1,2
AMD A6-6420K,"FM2, FM2+",4.0,4.2,1
AMD A6-7400K,FM2+,3.5,3.9,1
AMD A6-7470K,FM2+,3.7,4.0,1
AMD A6-9500,AM4,3.5,,2
AMD A6-9500E,AM4,3.0,,2
AMD A8-6600K,FM2,3.9,4.2,4
AMD A8-7600,FM2+,3.1,3.8,2
AMD A8-7650K,FM2+,3.3,3.7,2
AMD A8-7650K,FM2+,3.3,3.7,2
AMD A8-7670K,FM2+,3.6,3.9,2
AMD A8-9600,AM4,3.1,,4
AMD Athlon 200GE,AM4,3.2,,2
AMD Athlon 220GE,AM4,3.4,,2
AMD Athlon 240GE,AM4,3.5,,2
AMD Athlon 3000G,AM4,3.5,,2
AMD Athlon X4 845,FM2+,3.5,3.8,2
AMD Athlon X4 860K,FM2+,3.7,4.0,2
AMD Athlon X4 860K,FM2+,3.7,4.0,2
AMD Athlon X4 870K,FM2+,3.9,4.1,2
AMD Athlon X4 880K,FM2+,4.0,4.2,2
AMD Athlon X4 950,AM4,3.5,,4
AMD FX-4300,AM3+,3.8,4.0,4
AMD FX-4350,AM3+,4.2,4.3,4
AMD FX-6300,AM3+,3.5,4.1,6
AMD FX-6350,AM3+,3.9,4.2,6
AMD FX-8150,AM3+,3.6,4.2,8
AMD FX-8300,AM3+,3.3,4.2,8
AMD FX-8320,AM3+,3.5,4.0,8
AMD FX-8320E,AM3+,3.2,4.0,8
AMD FX-8350,AM3+,4.0,4.2,8
AMD FX-8370,AM3+,4.0,4.3,8
AMD FX-8370,AM3+,4.0,4.3,8
AMD FX-8370E,AM3+,3.3,4.3,4
AMD FX-9370,AM3+,4.4,4.7,4
AMD FX-9590,AM3+,4.7,5.0,8
AMD Phenom II X6 1090T,AM3,3.2,3.6,6
AMD Ryzen 3 1200,AM4,3.1,3.4,4
AMD Ryzen 3 1200 AF,AM4,3.1,3.4,4
AMD Ryzen 3 1300X,AM4,3.5,3.7,4
AMD Ryzen 3 2200G,AM4,3.5,3.7,4
AMD Ryzen 3 3100,AM4,3.6,3.9,4
AMD Ryzen 3 3200G,AM4,3.6,4.0,4
AMD Ryzen 3 3300X,AM4,3.8,4.3,4
AMD Ryzen 3 4100,AM4,3.8,4.0,4
AMD Ryzen 5 1400,AM4,3.2,3.4,4
AMD Ryzen 5 1500X,AM4,3.5,3.7,4
AMD Ryzen 5 1600,AM4,3.2,3.6,6
AMD Ryzen 5 1600 AF,AM4,3.2,3.6,6
AMD Ryzen 5 1600X,AM4,3.6,4.0,6
AMD Ryzen 5 2400G,AM4,3.6,3.9,4
AMD Ryzen 5 2600,AM4,3.4,3.9,6
AMD Ryzen 5 2600,AM4,3.4,3.9,6
AMD Ryzen 5 2600X,AM4,3.6,4.1,6
AMD Ryzen 5 2600X,AM4,3.6,4.2,6
AMD Ryzen 5 3400G,AM4,3.7,4.2,4
AMD Ryzen 5 3500X,AM4,3.6,4.1,6
AMD Ryzen 5 3600,AM4,3.6,4.2,6
AMD Ryzen 5 3600,AM4,3.6,4.2,6
AMD Ryzen 5 3600X,AM4,3.8,4.4,6
AMD Ryzen 5 3600XT,AM4,3.8,4.5,6
AMD Ryzen 5 4500,AM4,3.6,4.1,6
AMD Ryzen 5 5500GT,AM4,3.6,4.4,6
AMD Ryzen 5 5600GT,AM4,3.6,4.6,6
AMD Ryzen 5 7600X3D,AM5,4.1,4.7,6
AMD Ryzen 5 9600X,AM5,3.9,5.4,6
AMD Ryzen 7 1700,AM4,3.0,3.7,8
AMD Ryzen 7 1700X,AM4,3.4,3.8,8
AMD Ryzen 7 1800X,AM4,3.6,4.0,8
AMD Ryzen 7 2700,AM4,3.2,4.1,8
AMD Ryzen 7 2700,AM4,3.2,4.1,8
AMD Ryzen 7 2700X,AM4,3.7,4.3,8
AMD Ryzen 7 3700X,AM4,3.6,4.4,8
AMD Ryzen 7 3800X,AM4,3.9,4.5,8
AMD Ryzen 7 3800XT,AM4,3.9,4.7,8
AMD Ryzen 7 5700,AM4,3.7,4.6,8
AMD Ryzen 7 9700X,AM5,3.8,5.5,8
AMD Ryzen 7 9800X3D,AM5,4.7,5.2,8
AMD Ryzen 9 3900X,AM4,3.8,4.6,12
AMD Ryzen 9 3900XT,AM4,3.8,4.7,12
AMD Ryzen 9 3950X,AM4,3.5,4.7,16
AMD Ryzen 9 9900X,AM5,4.4,5.6,12
AMD Ryzen 9 9900X3D,AM5,4.4,5.5,12
AMD Ryzen 9 9950X3D,AM5,4.3,5.7,16
AMD Ryzen Threadripper 1900X,TR4,3.8,4.0,8
AMD Ryzen Threadripper 1920X,TR4,3.5,4.0,12
AMD Ryzen Threadripper 1950X,TR4,3.4,4.0,16
AMD Ryzen Threadripper 2920X,TR4,3.5,4.3,12
AMD Ryzen Threadripper 2950X,TR4,3.5,4.4,16
AMD Ryzen Threadripper 2970WX,TR4,3.0,4.2,24
AMD Ryzen Threadripper 2990WX,TR4,3.0,4.0,32
AMD Ryzen Threadripper 3960X,TRX40,3.8,4.5,24
AMD Ryzen Threadripper 3970X,TRX40,3.7,4.5,32
AMD Ryzen Threadripper 3990X,TRX40,2.9,4.3,64
AMD Ryzen Threadripper 7960X,sTR5,4.2,5.3,24
AMD Ryzen Threadripper 7970X,sTR5,4.0,5.3,32
AMD Ryzen Threadripper 7980X,sTR5,3.2,5.1,64
AMD Ryzen Threadripper Pro 3955WX,sWRX80,3.9,4.3,16
AMD Ryzen Threadripper Pro 3975WX,sWRX80,3.5,4.2,32
AMD Ryzen Threadripper Pro 3995WX,sWRX80,2.7,4.2,64
AMD Ryzen Threadripper Pro 5955WX,sWRX8,4.0,4.5,16
AMD Ryzen Threadripper Pro 5965WX,sWRX8,3.8,4.5,24
AMD Ryzen Threadripper Pro 5975WX,sWRX8,3.6,4.5,32
AMD Ryzen Threadripper Pro 5995WX,sWRX8,2.7,4.5,64
AMD Ryzen Threadripper Pro 7965WX,sTR5,4.2,5.3,24
AMD Ryzen Threadripper Pro 7975WX,sTR5,4.0,5.3,32
AMD Ryzen Threadripper Pro 7985WX,sTR5,3.2,5.1,64
AMD Ryzen Threadripper Pro 7995WX,sTR5,2.5,5.1,96
Intel 300,1700,3.9,,2
Intel Celeron G1840,1150,2.8,,2
Intel Celeron G6900,1700,3.4,,2
Intel Core i3-10100,1200,3.6,4.1,4
Intel Core i3-10100F,1200,3.6,4.3,4
Intel Core i3-10105,1200,3.7,,4
Intel Core i3-10300,1200,3.7,4.2,4
Intel Core i3-10305,1200,3.8,,4
Intel Core i3-10320,1200,3.8,4.4,4
Intel Core i3-12100,1700,3.3,4.3,4
Intel Core i3-12100F,1700,3.3,4.3,4
Intel Core i3-13100,1700,3.4,,4
Intel Core i3-13100F,1700,3.4,,4
Intel Core i3-14100,1700,3.5,,4
Intel Core i3-14100F,1700,3.5,,4
Intel Core i3-4130,1150,3.4,,2
Intel Core i3-4160,1150,3.6,,2
Intel Core i3-4170,1150,3.7,,2
Intel Core i3-4330,1150,,,2
Intel Core i3-6098P,1151,3.6,,2
Intel Core i3-6100,1151,3.7,,2
Intel Core i3-6100T,1151,3.2,,2
Intel Core i3-6300,1151,3.8,,2
Intel Core i3-6300T,1151,3.3,,2
Intel Core i3-6320,1151,3.9,,2
Intel Core i3-7100,1151,3.9,,2
Intel Core i3-7100T,1151,3.4,,2
Intel Core i3-7300,1151,4.0,,2
Intel Core i3-7300T,1151,3.5,,2
Intel Core i3-7320,1151,4.1,,2
Intel Core i3-7350K,1151,4.2,,2
Intel Core i3-8100,1151,3.6,,4
Intel Core i3-8300,1151,3.7,,4
Intel Core i3-8350K,1151,4.0,,4
Intel Core i3-9100,1151,3.6,4.2,4
Intel Core i3-9100F,1151,3.6,4.2,4
Intel Core i3-9300,1151,3.7,4.3,4
Intel Core i3-9320,1151,3.7,4.4,4
Intel Core i3-9350KF,1151,4.0,4.6,4
Intel Core i5-10400,1200,2.9,4.0,6
Intel Core i5-10400F,1200,2.9,4.0,6
Intel Core i5-10500,1200,3.1,,6
Intel Core i5-10600,1200,3.3,,6
Intel Core i5-10600K,1200,4.1,4.8,6
Intel Core i5-10600KF,1200,4.1,4.8,6
Intel Core i5-11400,1200,2.6,,6
Intel Core i5-11400F,1200,2.6,,6
Intel Core i5-11500,1200,2.7,,6
Intel Core i5-11600,1200,2.8,,6
Intel Core i5-11600K,1200,3.9,,6
Intel Core i5-11600KF,1200,3.9,,6
Intel Core i5-12400,1700,2.5,4.4,6
Intel Core i5-12400F,1700,2.5,4.4,6
Intel Core i5-12500,1700,3.0,4.6,6
Intel Core i5-12600,1700,3.3,4.8,6
Intel Core i5-12600K,1700,3.7,4.9,6
Intel Core i5-12600KF,1700,3.7,4.9,6
Intel Core i5-13400,1700,2.5,,6
Intel Core i5-13400F,1700,2.5,,6
Intel Core i5-13500,1700,2.5,,6
Intel Core i5-13600K,1700,3.5,,6
Intel Core i5-13600KF,1700,3.5,,6
Intel Core i5-14400,1700,2.5,,6
Intel Core i5-14400F,1700,2.5,,6
Intel Core i5-14500,1700,2.6,,6
Intel Core i5-14600K,1700,3.5,,6
Intel Core i5-14600KF,1700,3.5,,6
Intel Core i5-2500K,1155,3.3,3.7,4
Intel Core i5-3570K,1155,3.4,3.8,4
Intel Core i5-4440,1150,,,4
Intel Core i5-4460,1150,3.2,3.4,4
Intel Core i5-4590,1150,3.3,3.7,4
Intel Core i5-4670K,1150,3.4,3.8,4
Intel Core i5-4690,1150,3.5,3.9,4
Intel Core i5-4690K,1150,3.5,3.9,4
Intel Core i5-5675C,1150,3.1,3.6,4
Intel Core i5-6400,1151,2.7,3.3,4
Intel Core i5-6402P,1151,,,4
Intel Core i5-6500,1151,3.2,3.6,4
Intel Core i5-6600,1151,3.3,3.9,4
Intel Core i5-6600K,1151,3.5,3.9,4
Intel Core i5-7400,1151,3.0,3.5,4
Intel Core i5-7500,1151,3.4,3.8,4
Intel Core i5-7600,1151,3.5,4.1,4
Intel Core i5-7600K,1151,3.8,4.2,4
Intel Core i5-7640X,2066,4.0,4.2,4
Intel Core i5-8400,1151,2.8,4.0,6
Intel Core i5-8500,1151,3.0,4.1,6
Intel Core i5-8600,1151,3.1,4.3,6
Intel Core i5-8600K,1151,3.6,4.3,6
Intel Core i5-9400,1151,2.9,4.1,6
Intel Core i5-9400F,1151,2.9,4.1,6
Intel Core i5-9500,1151,3.0,4.4,6
Intel Core i5-9600,1151,3.1,4.6,6
Intel Core i5-9600K,1151,3.7,,6
Intel Core i5-9600KF,1151,3.7,4.6,6
Intel Core i7-10700,1200,2.9,,8
Intel Core i7-10700F,1200,2.9,,8
Intel Core i7-10700K,1200,3.8,5.1,8
Intel Core i7-10700KF,1200,3.8,5.1,8
Intel Core i7-11700,1200,2.5,,8
Intel Core i7-11700K,1200,3.6,,8
Intel Core i7-11700KF,1200,3.6,,8
Intel Core i7-12700,1700,2.1,4.9,8
Intel Core i7-12700F,1700,2.1,4.9,8
Intel Core i7-12700K,1700,3.6,5.0,8
Intel Core i7-12700KF,1700,3.6,5.0,8
Intel Core i7-13700,1700,2.1,5.2,8
Intel Core i7-13700F,1700,2.1,5.2,8
Intel Core i7-13700K,1700,3.4,5.4,8
Intel Core i7-13700KF,1700,3.4,5.4,8
Intel Core i7-14700,1700,2.1,,8
Intel Core i7-14700F,1700,2.1,,8
Intel Core i7-14700K,1700,3.4,5.6,8
Intel Core i7-14700KF,1700,3.4,5.6,8
Intel Core i7-2600K,1155,3.4,3.8,4
Intel Core i7-3770K,1155,3.5,3.9,4
Intel Core i7-4770K,1150,3.5,3.9,4
Intel Core i7-4790,1150,3.6,4.0,4
Intel Core i7-4790K,1150,4.0,4.4,4
Intel Core i7-4790K,1150,4.0,4.4,4
Intel Core i7-5775C,1150,3.3,3.7,4
Intel Core i7-5820K,2011-V3,3.3,3.6,6
Intel Core i7-5930K,2011-V3,3.5,3.7,6
Intel Core i7-5960X,2011-V3,3.0,3.5,8
Intel Core i7-6700,1151,3.4,4.0,4
Intel Core i7-6700K,1151,4.0,4.2,4
Intel Core i7-6800K,2011-V3,3.4,3.6,6
Intel Core i7-6850K,2011-V3,3.6,3.8,6
Intel Core i7-6900K,2011-V3,3.2,3.7,8
Intel Core i7-6950X,2011-V3,3.0,3.5,10
Intel Core i7-7700,1151,3.6,4.2,4
Intel Core i7-7700K,1151,4.2,4.5,4
Intel Core i7-7740X,2066,4.3,4.5,4
Intel Core i7-7800X,2066,3.5,,6
Intel Core i7-7820X,2066,3.6,4.5,8
Intel Core i7-8086K,1151,4.0,5.0,6
Intel Core i7-8700,1151,3.2,4.6,6
Intel Core i7-8700K,1151,3.7,4.7,6
Intel Core i7-9700K,1151,3.6,4.9,8
Intel Core i7-9700KF,1151,3.6,4.9,8
Intel Core i9-10850K,1200,3.6,5.2,10
Intel Core i9-10900,1200,2.8,,10
Intel Core i9-10900F,1200,2.8,,10
Intel Core i9-10900K,1200,3.7,5.3,10
Intel Core i9-10900KF,1200,3.7,5.3,10
Intel Core i9-10900X,2066,3.7,4.5,10
Intel Core i9-10920X,2066,3.5,4.6,12
Intel Core i9-10940X,2066,3.3,4.6,14
Intel Core i9-10980XE,2066,3.0,4.8,18
Intel Core i9-11900,1200,2.5,,8
Intel Core i9-11900F,1200,2.5,,8
Intel Core i9-11900K,1200,3.5,5.2,8
Intel Core i9-11900KF,1200,3.5,,8
Intel Core i9-12900,1700,2.4,5.1,8
Intel Core i9-12900F,1700,2.4,5.1,8
Intel Core i9-12900K,1700,3.2,5.2,8
Intel Core i9-12900KF,1700,3.2,5.2,8
Intel Core i9-12900KS,1700,3.4,,8
Intel Core i9-13900,1700,4.3,,8
Intel Core i9-13900F,1700,4.3,,8
Intel Core i9-13900K,1700,3.0,5.7,8
Intel Core i9-13900KF,1700,3.0,5.7,8
Intel Core i9-13900KS,1700,3.2,3.0,8
Intel Core i9-14900,1700,2.0,,8
Intel Core i9-14900F,1700,2.0,,8
Intel Core i9-14900K,1700,3.2,5.8,8
Intel Core i9-14900KF,1700,3.2,5.8,8
Intel Core i9-14900KS,1700,3.2,3.0,8
Intel Core i9-7900X,2066,3.3,4.5,10
Intel Core i9-7920X,2066,2.9,4.4,12
Intel Core i9-7940X,2066,3.1,4.4,14
Intel Core i9-7960X,2066,2.8,4.4,16
Intel Core i9-7980XE,2066,2.6,4.4,18
Intel Core i9-9900K,1151,3.6,5.0,8
Intel Core i9-9900KF,1151,3.6,5.0,8
Intel Core i9-9900KS,1151,4.0,5.0,8
Intel Core Ultra 5 225,1851,3.3,4.9,10
Intel Core Ultra 5 225F,1851,4.9,4.9,10
Intel Core Ultra 5 235,1851,3.4,5.0,14
Intel Core Ultra 7 265,LGA 1851,2.4,5.3,20
Intel Core Ultra 7 265F,LGA 1851,2.4,5.3,8
Intel Core Ultra 9 285,1851,2.5,5.6,24
Intel Pentium G3240,1150,,,2
Intel Pentium G3250,1150,,,2
Intel Pentium G3258,1150,3.2,,2
Intel Pentium G3260,1150,3.3,,2
Intel Pentium G4400,1151,3.3,,2
Intel Pentium G4500,1151,3.5,,2
Intel Pentium G4520,1151,3.6,,2
Intel Pentium G4560,1151,3.5,,2
Intel Pentium G4600,1151,3.6,,2
Intel Pentium G4620,1151,3.7,,2
Intel Pentium G7400,1700,3.7,,2
Intel Pentium Gold G5400,1151,3.7,,2
Intel Pentium Gold G5420,1151,3.8,,2
Intel Pentium Gold G5500,1151,3.8,,2
Intel Pentium Gold G5600,1151,3.9,,2
Intel Xeon E3-1231 V3,1150,3.4,3.8,4
Intel Xeon E3-1241 V3,1150,3.5,3.9,4
Intel Xeon E3-1271 V3,1150,3.6,4.0,4
Intel Xeon E5-1620 V3,2011-V3,3.5,3.6,4
Intel Xeon E5-1650 V3,2011-V3,3.5,3.8,6
Intel Xeon E5-1650 V4,2011-V3,3.6,4.0,6
Intel Xeon E5-2603 V3,2011-V3,1.6,,6
Intel Xeon E5-2603 V4,2011-V3,1.7,,6
Intel Xeon E5-2609 V4,2011-V3,1.7,,8
Intel Xeon E5-2620 V3,2011-V3,2.4,3.2,6
Intel Xeon E5-2620 V4,2011-V3,2.1,3.0,8
Intel Xeon E5-2630 V3,2011-V3,2.4,3.2,8
Intel Xeon E5-2630 V4,2011-V3,2.2,3.1,10
Intel Xeon E5-2640 V3,2011-V3,2.6,3.4,8
Intel Xeon E5-2640 V4,2011-V3,2.4,3.4,10
Intel Xeon E5-2650 V4,2011-V3,2.2,2.9,2
Intel Xeon E5-2660 V3,2011-V3,2.6,3.3,10
Intel Xeon E5-2660 V4,2011-V3,2.0,3.2,4
Intel Xeon E5-2680 V3,2011-V3,2.5,3.3,2
Intel Xeon E5-2680 V4,2011-V3,2.4,3.3,4
Intel Xeon E5-2683 V4,2011-V3,2.1,3.0,6
Intel Xeon E5-2687W V3,2011-V3,3.1,3.5,10
Intel Xeon E5-2687W V4,2011-V3,3.0,3.5,2
Intel Xeon E5-2690 V3,2011-V3,2.6,3.5,2
Intel Xeon E5-2690 V4,2011-V3,2.6,3.5,4
Intel Xeon E5-2695 V3,2011-V3,2.3,3.3,4
Intel Xeon E5-2695 V4,2011-V3,2.1,3.3,8
Intel Xeon E5-2697 V3,2011-V3,2.6,3.6,4
Intel Xeon E5-2697 V4,2011-V3,2.3,3.6,8