name,supported_socket,type
Arctic Liquid Freezer Processor,"1150, 1151, 1155, 1156, 2011, 2011-V3, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, TR4",AIO
Arctic Liquid Freezer II ARGB Processor,"2066, 2011-V3, 1700, 1200, 1150, 1152, 1151, 1155, 1156, AM5, AM4",AIO
Arctic Liquid Freezer II Processor,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM4",AIO
Arctic Liquid Freezer II Processor,"1200, 1150, 1151, 1155, 1156, 2011-V3, 2066, AM3, AM4",AIO
Arctic Liquid Freezer III ARGB Processor,"1700, AM5, AM4",AIO
Arctic Liquid Freezer III ARGB Processor,"1700, AM5, AM4",AIO
Arctic Liquid Freezer III ARGB Processor,"1700, AM5, AM4",AIO
Arctic Liquid Freezer III ARGB Processor,"1700, AM5, AM4",AIO
Arctic Liquid Freezer III ARGB White Processor,"1700, AM5, AM4",AIO
Arctic Liquid Freezer III ARGB White Processor,"1700, AM5, AM4",AIO
Arctic Liquid Freezer III ARGB White Processor,"1700, AM5, AM4",AIO
Arctic Liquid Freezer III ARGB White Processor,"1700, AM5, AM4",AIO
Arctic Liquid Freezer III Processor,"1700, AM5, AM4",AIO
Arctic Liquid Freezer III Processor,"1700, AM5, AM4",AIO
Arctic Liquid Freezer III Processor,"1700, AM5, AM4",AIO
Arctic Liquid Freezer III Processor,"1700, AM5, AM4",AIO
ASUS ProArt LC 420  - black,"1700, 1200, 1156, 1155, 1151, 1150, AM5, AM4",AIO
ASUS ROG RYUJIN 360,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM4, TR4, sTRX4",AIO
ASUS ROG Ryujin II 240  - black,"1152, 2066, 2011-V3, 2011, 1366, 1200, 1150, 1151, 1155, 1156, AM4, TR4",AIO
"ASUS ROG Ryujin II 240 ARGB  , black","2066, 2011-V3, 2011, 1700, 1200, 1150, 1152, 1151, 1155, 1156, AM5, AM4, TR4",AIO
ASUS ROG Ryujin II 240 ARGB  - black,"1152, 2066, 2011-V3, 2011, 1366, 1200, 1150, 1151, 1155, 1156, AM4, SP3, sWRX8, TR4",AIO
ASUS ROG Ryujin II 360  - black,"1152, 2066, 2011-V3, 2011, 1700, 1200, 1150, 1151, 1155, 1156, AM4, SP3, sWRX8, TR4",AIO
ASUS ROG RYUJIN II 360  - black,"2066, 2011-V3, 2011, 1700, 1200, 1150, 1152, 1151, 1155, 1156, AM5, AM4, SP3, sWRX8, TR4",AIO
ASUS ROG Ryujin II 360 ARGB  - black,"1152, 2066, 2011-V3, 2011, 1366, 1200, 1150, 1151, 1155, 1156, AM4, TR4",AIO
ASUS ROG RYUJIN II 360 ARGB  - black,"1154, 2066, 2011-V3, 2011, 1700, 1200, 1150, 1152, 1151, 1155, 1156, AM5, AM4, SP3, sWRX8, TR4",AIO
ASUS ROG RYUO 120,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM4, TR4",AIO
ASUS ROG RYUO 240,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM4, TR4, sTRX4",AIO
"ASUS ROG Ryuo III 240 ARGB  - 240 mm, black","1154, 1700, 1200, 1150, 1152, 1151, 1155, 1156, AM5, AM4",AIO
"ASUS ROG Ryuo III 240 ARGB  - 240 mm, white","1154, 1700, 1200, 1150, 1152, 1151, 1155, 1156, AM5, AM4",AIO
"ASUS ROG Ryuo III 360 ARGB  - 360 mm, black","1154, 1700, 1200, 1150, 1152, 1151, 1155, 1156, AM5, AM4",AIO
"ASUS ROG Ryuo III 360 ARGB  - 360 mm, white","1154, 1700, 1200, 1150, 1152, 1151, 1155, 1156, AM5, AM4",AIO
ASUS ROG Strix LC 120,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM4, TR4, sTRX4",AIO
ASUS ROG Strix LC 120 RGB,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM4, TR4, sTRX4",AIO
ASUS ROG Strix LC 240,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM4, TR4, sTRX4",AIO
ASUS ROG Strix LC 240 RGB,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM4, TR4, sTRX4",AIO
ASUS ROG Strix LC 360,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM4, TR4, sTRX4",AIO
ASUS ROG Strix LC 360 RGB,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM4, TR4, sTRX4",AIO
ASUS ROG Strix LC II 120 ARGB,"2066, 2011-V3, 2011, 1700, 1200, 1150, 1151, 1155, 1156, AM4, TR4",AIO
ASUS ROG Strix LC II 240,"2066, 2011-V3, 2011, 1700, 1200, 1150, 1151, 1155, 1156, AM4, TR4",AIO
ASUS ROG Strix LC II 240 ARGB,"2066, 2011-V3, 2011, 1700, 1200, 1150, 1151, 1155, 1156, AM4, TR4",AIO
ASUS ROG Strix LC II 240 ARGB White Edition,"2066, 2011-V3, 2011, 1700, 1200, 1150, 1151, 1155, 1156, AM4, TR4",AIO
ASUS ROG Strix LC II 280 ARGB,"2066, 2011-V3, 2011, 1700, 1200, 1150, 1151, 1155, 1156, AM4, TR4",AIO
ASUS ROG Strix LC II 360,"2066, 2011-V3, 2011, 1700, 1200, 1150, 1151, 1155, 1156, AM4, TR4",AIO
ASUS ROG Strix LC II 360,"1154, 2066, 2011-V3, 2011, 1700, 1200, 1150, 1152, 1151, 1155, 1156, AM5, AM4, TR4",AIO
ASUS ROG Strix LC II 360 ARGB,"2066, 2011-V3, 2011, 1700, 1200, 1150, 1151, 1155, 1156, AM4, TR4",AIO
"ASUS ROG STRIX LC II 360 ARGB  , white","1154, 2066, 2011-V3, 2011, 1700, 1200, 1150, 1152, 1151, 1155, 1156, AM5, AM4, TR4",AIO
ASUS ROG Strix LC II 360 ARGB White Edition,"2066, 2011-V3, 2011, 1700, 1200, 1150, 1151, 1155, 1156",AIO
ASUS ROG STRIX LC III 240 ARGB  - black,"1700, 1200, 1156, 1155, 1154, 1152, 1151, 1150, AM5, AM4",AIO
ASUS ROG STRIX LC III 240 ARGB  - white,"1700, 1200, 1156, 1155, 1154, 1152, 1151, 1150, AM5, AM4",AIO
ASUS ROG STRIX LC III 360  - black,"1700, 1200, 1156, 1155, 1154, 1152, 1151, 1150, AM5, AM4",AIO
ASUS ROG STRIX LC III 360 ARGB  - black,"1700, 1200, 1156, 1155, 1154, 1152, 1151, 1150, AM5, AM4",AIO
ASUS ROG STRIX LC III 360 ARGB  - white,"1700, 1200, 1156, 1155, 1154, 1152, 1151, 1150, AM5, AM4",AIO
ASUS TUF Gaming LC 120 ARGB,"1700, 1200, 1150, 1151, 1155, 1156, AM4",AIO
ASUS TUF Gaming LC 240 ARGB,"1700, 1200, 1150, 1151, 1155, 1156, 1366, 2011-V3, 2011, 2066, AM4",AIO
ASUS TUF Gaming LC 240 ARGB,"1154, 2066, 2011-V3, 2011, 1700, 1366, 1200, 1150, 1152, 1151, 1155, 1156, AM5, AM4",AIO
ASUS TUF Gaming LC 240 RGB,"1200, 1150, 1151, 1155, 1156, 1366, 2011-V3, 2011, 2066, AM4",AIO
be quiet! Dark Rock 3,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 754, 775, 939, 940, AM2, AM3, AM3+, FM1, FM2, FM2+",Air
be quiet! Dark Rock Advanced,"1150, 1151, 1155, 1156, 1366, 754, 775, 939, 940, AM2, AM3, AM3+, FM1, FM2, FM2+",Air
be quiet! Dark Rock Pro 3,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 754, 775, 939, 940, AM2, AM3, AM3+, FM1, FM2, FM2+",Air
be quiet! Dark Rock Pro TR4  - black,"TR4, sTRX4",Air
be quiet! Dark Rock Slim  - 120mm,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, AM5, 1700",Air
be quiet! Dark Rock TF  - 135/135mm,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 754, 775, 939, 940, AM2, AM3, AM3+, FM1, FM2, FM2+",Air
be quiet! Dark Rock TF 2 - 135/135mm,"1200, 1150, 1151, 1155, 1156, 2011-V3, 2066, AM4, AM3+, AM5, 1700",Air
be quiet! Pure Loop 2 FX,"2066, 2011-V3, 2011, 1700, 1200, 1150, 1151, 1155, AM5, AM4",AIO
be quiet! Pure Loop 2 FX,"2066, 2011-V3, 2011, 1700, 1200, 1150, 1151, 1155, AM5, AM4",AIO
be quiet! Pure Loop 2 FX,"2066, 2011-V3, 2011, 1700, 1200, 1150, 1151, 1155, AM5, AM4",AIO
be quiet! Pure Rock 2  - 120mm,"1200, 1150, 1151, 1155, 1156, 2011-V3, 2011, 2066, AM4, AM3+, AM3, AM5, 1700",Air
be quiet! Pure Rock 2 Black  - 120mm,"1200, 1150, 1151, 1155, 1156, 2011-V3, 2011, 2066, AM4, AM3+, AM3, AM5, 1700",Air
be quiet! Pure Rock 2 FX - 120mm,"2066, 2011-V3, 2011, 1700, 1200, 1150, 1151, 1155, ILM, AM5, AM4",Air
be quiet! Pure Rock LP Processor Kühler - 92mm,"1700, 1200, 1150, 1152, 1151, 1155, 1156, AM5, AM4",Air
be quiet! Pure Rock Slim  - 92mm,"1150, 1151, 1155, 1156, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",Air
be quiet! Pure Rock Slim 2 - 92mm,"1200, 1150, 1151, 1155, AM4, AM3+, AM5, 1700",Air
be quiet! Shadow Rock 2  - 120mm,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 754, 775, 939, 940, AM2, AM3, AM3+, FM1, FM2, FM2+",Air
be quiet! Shadow Rock 3  - 120mm,"1150, 1151, 1155, 2011-V3, 2011, 2066, AM4, AM3+, AM3, AM5, 1700",Air
be quiet! Shadow Rock 3 White  - 120mm,"1200, 1150, 1151, 1155, 1156, 2011-V3, 2011, 2066, AM4, AM3+, AM3, AM5, 1700",Air
be quiet! Shadow Rock LP Low Profile  - 120mm,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 754, 775, 939, 940, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, AM5, 1700",Air
be quiet! Shadow Rock Slim,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 754, 775, 939, 940, AM2, AM3, AM3+, FM1, FM2, FM2+",Air
be quiet! Shadow Rock Slim 2 - 135 cm,"1200, 1150, 1151, 1155, 2011-V3, 2066, AM4, AM3+, AM3, AM5, 1700",Air
be quiet! Shadow Rock TF2  - 135mm,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",Air
be quiet! Silent Loop,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, FM1, FM2, FM2+",AIO
be quiet! Silent Loop,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",AIO
be quiet! Silent Loop,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+, TR4",AIO
be quiet! Silent Loop,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",AIO
"be quiet! Silent Loop 2 , ARGB , black","1200, 1150, 1151, 1155, 1156, 1366, 2011, 2066, AM4, AM3, sTRX4, TR4, AM5, 1700",AIO
"be quiet! Silent Loop 2 , ARGB , black","1200, 1150, 1151, 1155, 1156, 1366, 2011, 2066, AM4, AM3, sTRX4, TR4, AM5, 1700",AIO
"be quiet! Silent Loop 2 , ARGB , black","1200, 1150, 1151, 1155, 1156, 1366, 2011, 2066, AM4, AM3, sTRX4, TR4, AM5, 1700",AIO
Bitspower Phantom,"1700, 1366, 1150, 1151, 1155, 1156, 775, AM4, AM3+, AM3, AM2+, AM2, FM2+, FM1",Air
Bitspower Summit LGA 3647 - Acetal,3647,Air
Cooler Master Hyper 103  - 92mm,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, FM1, FM2, FM2+",Air
Cooler Master Hyper 212 Black Edition mit socket LGA 1700 - 120mm,"2066, 2011-V3, 2011, 1700, 1366, 1200, 1150, 1151, 1155, 1156, AM4, AM3+, AM3, AM2+, AM2, FM2+, FM2, FM1",Air
Cooler Master Hyper 212 Evo  - 120mm,"1150, 1151, 1155, 1156, 1366, AM2, AM3, AM3+, FM1, FM2, FM2+",Air
Cooler Master Hyper 212 EVO V2 - 120mm,"1200, 1150, 1151, 1155, 1156, 1366, 2011-V3, 2011, 2066, 775, AM4, AM3+, AM2+, FM2+, FM1",Air
Cooler Master Hyper 212X  - 120mm PWM,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, FM1, FM2, FM2+",Air
Cooler Master Hyper 212X -  with Dual 120mm PWM Fan,"2011-V3 , 2011 , 1366 , 1156 , 1155 , 1151 , 1150 , 775, FM2+ , FM2 , FM1 , AM3+ , AM3 , AM2+ , AM2",Air
"Cooler Master Hyper H411R , weiße LED - 92mm","1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",Air
Cooler Master Hyper H412R  - 92mm,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775",Air
Cooler Master Hyper T2 - Compact  with Dual Looped Direct Contact Heatpipes,"1150 , 1156 , 1155 , 775, FM2+ , FM2 , FM1 , AM4 , AM3+ , AM3 , AM2",Air
Cooler Master Hyper TX3 Evo  - 92mm,"1150, 1151, 1155, 1156, 1366, 754, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",Air
Cooler Master Hyper TX3i  - 92mm PWM,"1150, 1151, 1155, 1156, 775",Air
"Cooler Master MasterAir G100M, RGB  - 100mm","1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",Air
Cooler Master MasterAir MA410M RGB  - 2x120mm PWM,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",Air
"Cooler Master MasterAir MA410P , RGB - 120mm","1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",Air
"Cooler Master MasterAir MA610P , RGB - 120mm","1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",Air
Cooler Master Masterliquid 240  - 240 mm,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",AIO
Cooler Master MasterLiquid ML240 ILLUSION White Edition - white,"1200, 1150, 1151, 1155, 1156, 2011-V3, 2011, 2066, AM4, AM3+, AM3, AM2+, AM2, FM2+, FM2, FM1",AIO
Cooler Master MasterLiquid ML360 ILLUSION - black,"1200, 1150, 1151, 1155, 1156, 2011-V3, 2011, 2066, AM4, AM3+, AM3, AM2+, AM2, FM2+, FM2, FM1",AIO
COOLER MASTER MAZ-T8PN-418PR-R1 140mm DynaLoop,"2011-V3 , 2011 , 1366 , 1151 , 1150 , 1156 , 1155 , 775, FM2+ , FM2 , FM1 , AM3+ , AM3 , AM2+",Air
Cooler Master ML240R RGB,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",AIO
Cooler Master PL240 Flux  - black,"1700, 1200, 1150, 1151, 1155, 1156, 2011-V3, 2011, 2066, AM4, AM3+, AM3, AM2+, AM2, FM2+, FM2, FM1, TR4",AIO
Cooler Master PL360 Flux  - black,"1700, 1200, 1150, 1151, 1155, 1156, 2011-V3, 2011, 2066, AM4, AM3+, AM3, AM2+, AM2, FM2+, FM2, FM1, TR4",AIO
COOLER MASTER RR-212E-20PK-R2 120mm Long Life Sleeve Bearing,"2011 , 1366 , 1151 , 1150 , 1155 , 1156 , 775, FM2+ , FM2 , FM1 , AM3+ , AM3 , AM2+ , AM2 , AM1",Air
COOLER MASTER RR-212X-20PM-R1 120mm 4th Generation Bearing,"2011-V3 , 2011 , 1366 , 1156 , 1155 , 1151 , 1150 , 775, FM2+ , FM2 , FM1 , AM3+ , AM3 , AM2+ , AM2",Air
COOLER MASTER RR-910-HTX3-G1 92mm Long life sleeve bearing,"775 , 1156 , 1155 , 1150, 754 , 939 , 940 , AM2 , AM3",Air
COOLER MASTER RR-B10-212P-G1 120mm Sleeve,"1366 , 1155 , 1156 , 1150 , 775, FM1 , FM2 , AM2 , AM2+ , AM3 , AM3+",Air
COOLER MASTER RR-G5V2-20PK-R1 120mm Loop Dynamic Bearing (LDB),"775 , 1155 , 1156 , 1366 , 2011",Air
COOLER MASTER RR-H6V2-13PK-R1 120mm Rifle,"2011,1366,1156,1155,1150,775, FM2+,FM2,FM1,AM3+,AM3,AM2+,AM2",Air
COOLER MASTER RR-HD92-28PK-R1 92mm Rifle,"1156 ,  1366 ,  775",Air
COOLER MASTER RR-T4-18PK-R1 120mm Rifle,"2011 , 1366 , 1156 , 1155 , 1151 , 1150 , 775, FM2+ , FM2 , FM1 , AM4 , AM3+ , AM3 , AM2",Air
COOLER MASTER RR-VTPS-28PK-R1 92mm Long life sleeve,"754, 939, 940, AM2,  775, 1366",Air
Cooler Master V8  - Vapor Chamber,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, 775, AM2, AM3, AM3+, FM1, FM2, FM2+",Air
Cooler Master V8  - Vapor Chamber,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 775, AM2, AM3, AM3+, FM1, FM2, FM2+",Air
Cooler Master Wraith Ripper  - 120 mm,TR4,Air
Corsair Air A500  - 120mm,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4",Air
Corsair Cooling Hydro Series H100i Platinum,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, TR4, sTRX4",AIO
Corsair Cooling Hydro Series H100i Platinum SE,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM2, AM3, AM3+, TR4, sTRX4",AIO
Corsair Cooling Hydro Series H115i Platinum,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, TR4, sTRX4",AIO
Corsair Cooling Hydro Series H45,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, AM2, AM3, AM3+, FM1, FM2, FM2+",AIO
Corsair Cooling Hydro Series H55,"1150, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1",AIO
Corsair Cooling Hydro Series H60 High Performance,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",AIO
Corsair Cooling Hydro Series H60i RGB PRO XT,"1200, 1150, 1151, 1155, 1156, 1366, 2011-V3, 2011, 2066, AM4, AM3, FM2, FM1",AIO
Corsair Cooling Hydro Series H75 Performance,"1150, 1151, 1155, 1156, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",AIO
Corsair Cooling Hydro Series H80i V2,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, AM2, AM3, AM4, FM1, FM2, FM2+",AIO
CORSAIR iCUE H100i ELITE  - black,"1700, 1200, 1150, 1151, 1155, 1156, 1366, 2011, 2066, AM4, AM3, AM2, sTRX4, sTR4",AIO
"Corsair iCUE H100i ELITE CAPELLIX  , black","1200, 1150, 1151, 1155, 1156, 1366, 2011, 2066, AM2, AM3, AM4, TR4, sTRX4",AIO
"Corsair iCUE H100i ELITE CAPELLIX White  , white","1200, sTR4, 1150, 1151, 1155, 1156, 1366, 2011, 2066, AM2, AM3, AM4, sTRX4",AIO
"Corsair iCUE H100i ELITE CAPELLIX XT  , black","1154, 2066, 2011-V3, 2011, 1700, 1200, 1150, 1151, 1155, 1156, AM5, AM4, sTRX4",AIO
"Corsair iCUE H100i ELITE CAPELLIX XT  , white","1154, 2066, 2011-V3, 2011, 1700, 1200, 1150, 1151, 1155, 1156, AM5, AM4, sTRX4",AIO
"Corsair iCUE H100i ELITE LCD XT  , black","1154, 2066, 2011-V3, 2011, 1700, 1200, 1150, 1151, 1155, 1156, AM5, AM4, sTRX4",AIO
"Corsair iCUE H100i RGB Elite  , black","2066, 2011, 1700, 1366, 1200, 1150, 1151, 1155, 1156, AM5, AM4, sTRX4, sTR4",AIO
"Corsair iCUE H100x RGB ELITE  , black","1154, 2066, 2011-V3, 2011, 1700, 1200, 1150, 1151, 1155, 1156, AM5, AM4",AIO
"Corsair iCUE H115i ELITE CAPELLIX  , black","1200, 1150, 1151, 1155, 1156, 1366, 2011, 2066, AM2, AM3, AM4, TR4, sTRX4",AIO
"Corsair iCUE H115i ELITE CAPELLIX XT  , black","1154, 1400, 2066, 2011-V3, 2011, 1700, 1150, 1151, 1155, 1156, AM5, AM4, sTRX4",AIO
"Corsair iCUE H115i RGB Elite  , black","2066, 2011, 1700, 1366, 1200, 1150, 1151, 1155, 1156, AM5, AM4, sTRX4, sTR4",AIO
"Corsair iCUE H150i ELITE  mit LCD-Monitor, black","1700, 1200, 1150, 1151, 1155, 1156, 1366, 2011, 2066, AM4, AM3, AM2, sTRX4, TR4",AIO
"Corsair iCUE H150i ELITE CAPELLIX  , black","1200, 1150, 1151, 1155, 1156, 1366, 2011, 2066, AM2, AM3, AM4, TR4, sTRX4",AIO
"Corsair iCUE H150i ELITE CAPELLIX White  , white","1200, sTR4, 1150, 1151, 1155, 1156, 1366, 2011, 2066, AM2, AM3, AM4, sTRX4",AIO
"Corsair iCUE H150i ELITE CAPELLIX XT  , black","1154, 2066, 2011-V3, 2011, 1700, 1200, 1150, 1151, 1155, 1156, AM5, AM4, sTRX4",AIO
"Corsair iCUE H150i ELITE CAPELLIX XT  , white","1154, 2066, 2011-V3, 2011, 1700, 1200, 1150, 1151, 1155, 1156, AM5, AM4, sTRX4",AIO
"Corsair iCUE H150i ELITE LCD XT  , black","1154, 2066, 2011-V3, 2011, 1700, 1200, 1150, 1151, 1155, 1156, AM5, AM4, sTRX4",AIO
"Corsair iCUE H150i ELITE LCD XT  , white","1154, 2066, 2011-V3, 2011, 1700, 1200, 1150, 1151, 1155, 1156, AM5, AM4, sTRX4",AIO
"Corsair iCUE H150i RGB Elite  , black","2066, 2011, 1700, 1366, 1200, 1150, 1151, 1155, 1156, AM5, AM4, sTRX4, sTR4",AIO
"Corsair iCUE H170i ELITE  mit LCD-Monitor, black","1700, 1200, 1150, 1151, 1155, 1156, 1366, 2011, 2066, AM4, AM3, AM2, sTRX4, TR4",AIO
"Corsair iCUE H170i Elite Capellix , black","1700, 1200, 1150, 1151, 1155, 1156, 1366, 2011, 2066, AM4, AM3, AM2, sTRX4, sTR4",AIO
"Corsair iCUE H170i ELITE CAPELLIX XT  , black","1154, 2066, 2011-V3, 2011, 1700, 1200, 1150, 1151, 1155, 1156, AM5, AM4, sTRX4",AIO
"Corsair iCUE H170i ELITE LCD XT  , black","1154, 2066, 2011-V3, 2011, 1700, 1200, 1150, 1151, 1155, 1156, AM5, AM4, sTRX4",AIO
Cryorig A40  - 240 mm,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",AIO
Cryorig A40 Ultimate  - 240 mm,"1150, 1151, 1155, 1156, 1366, 2011, 2011-V3, 2066, AM2, AM3, AM3+, AM4, FM1, FM2, FM2+",AIO
