name,chipset,vram,tdp
ASUS GeForce GTX 1050 Ti Cerberus,GeForce GTX 1050 Ti,4,
ASUS GeForce GTX 1050 Ti DC2 O4G,GeForce GTX 1050 Ti,4,75
ASUS GeForce GTX 1050 Ti Expedition,GeForce GTX 1050 Ti,4,75
ASUS GeForce GTX 1050 Ti Expedition O4G,GeForce GTX 1050 Ti,4,75
ASUS GeForce GTX 1050 Ti PH,GeForce GTX 1050 Ti,4,75
ASUS GeForce GTX 1050 Ti STRIX 4G Gaming,GeForce GTX 1050 Ti,4,75
ASUS GeForce GTX 1050 Ti STRIX O4G Gaming,GeForce GTX 1050 Ti,4,75
ASUS GeForce GTX 1060 Dual 3G,GeForce GTX 1060 (3GB),3,120
ASUS GeForce GTX 1060 Dual O3G,GeForce GTX 1060 (3GB),3,120
ASUS GeForce GTX 1060 Dual O6G,GeForce GTX 1060 (6GB),6,120
ASUS GeForce GTX 1060 Expedition O6G,GeForce GTX 1060 (6GB),6,120
ASUS GeForce GTX 1060 O6G 9 Gbps,GeForce GTX 1060 (6GB),6,120
ASUS GeForce GTX 1060 STRIX 6G Gaming,GeForce GTX 1060 (6GB),6,120
ASUS GeForce GTX 1060 STRIX O6G Gaming,GeForce GTX 1060 (6GB),6,120
ASUS GeForce GTX 1060 Turbo 6G,GeForce GTX 1060 (6GB),6,120
ASUS GeForce GTX 1070 Dual 8G,GeForce GTX 1070,8,150
ASUS GeForce GTX 1070 Dual O8G,GeForce GTX 1070,8,150
ASUS GeForce GTX 1070 Expedition O8G,GeForce GTX 1070,8,150
ASUS GeForce GTX 1070 STRIX 8G Gaming,GeForce GTX 1070,8,150
ASUS GeForce GTX 1070 STRIX O8G Gaming,GeForce GTX 1070,8,150
ASUS GeForce GTX 1070 Ti Cerberus A8G,GeForce GTX 1070 Ti,8,180
ASUS GeForce GTX 1070 Ti STRIX 8G Gaming,GeForce GTX 1070 Ti,8,180
ASUS GeForce GTX 1070 Ti STRIX A8G Gaming,GeForce GTX 1070 Ti,8,180
ASUS GeForce GTX 1070 Ti Turbo 8G,GeForce GTX 1070 Ti,8,180
ASUS GeForce GTX 1070 Turbo 8G,GeForce GTX 1070,8,150
ASUS GeForce GTX 1080 STRIX 8G Gaming,GeForce GTX 1080,8,180
ASUS GeForce GTX 1080 STRIX A8G,GeForce GTX 1080,8,180
ASUS GeForce GTX 1080 STRIX O8G 11 Gbps,GeForce GTX 1080,8,180
ASUS GeForce GTX 1080 STRIX O8G Gaming,GeForce GTX 1080,8,180
ASUS GeForce GTX 1080 Ti Founders Edition,GeForce GTX 1080 Ti,11,250
ASUS GeForce GTX 1080 Ti STRIX 11G Gaming,GeForce GTX 1080 Ti,11,250
ASUS GeForce GTX 1080 Ti STRIX O11G Gaming,GeForce GTX 1080 Ti,11,250
ASUS GeForce GTX 1080 Ti Turbo 11G,GeForce GTX 1080 Ti,11,250
ASUS GeForce GTX 1080 Turbo 8G,GeForce GTX 1080,8,180
ASUS GeForce GTX 1650,GeForce GTX 1660 Super,4,75
"ASUS GeForce GTX 1650 Dual O4G, 4096 MB GDDR5",GeForce GTX 1650 (4GB),4,75
ASUS GeForce GTX 1650 Phoenix,GeForce GTX 1650 (4GB),4,75
"ASUS GeForce GTX 1650 Phoenix O4G, 4096 MB GDDR5",GeForce GTX 1650 (4GB),4,75
"ASUS GeForce GTX 1650 ROG STRIX A4G, 4096 MB GDDR5",GeForce GTX 1650 (4GB),4,75
"ASUS GeForce GTX 1650 ROG STRIX O4G, 4096 MB GDDR5",GeForce GTX 1650 (4GB),4,75
ASUS GeForce GTX 1650 Super,GeForce GTX 1650 Super,4,100
ASUS GeForce GTX 1650 Super Advanced ROG Strix A,GeForce GTX 1650 Super,4,100
ASUS GeForce GTX 1650 Super Phoenix,GeForce GTX 1650 Super,4,100
ASUS GeForce GTX 1650 Super ROG Strix,GeForce GTX 1650 Super,4,100
ASUS GeForce GTX 1650 Super TUF,GeForce GTX 1650 Super,4,100
ASUS GeForce GTX 1650 Super TUF O4G Gaming,GeForce GTX 1650 Super,4,100
ASUS GeForce GTX 1650 TUF,GeForce GTX 1650 (4GB),4,75
ASUS GeForce GTX 1650 TUF 4GD,GeForce GTX 1650 (4GB),4,75
ASUS GeForce GTX 1650 TUF O4GD,GeForce GTX 1650 (4GB),4,75
ASUS GeForce GTX 1660 Dual 6G Evo,GeForce GTX 1660 (6GB),6,120
ASUS GeForce GTX 1660 Dual O6G Evo,GeForce GTX 1660 (6GB),6,120
ASUS GeForce GTX 1660 Phoenix,GeForce GTX 1660 (6GB),6,120
ASUS GeForce GTX 1660 Super Dual O6G Evo,GeForce GTX 1660 Super,6,125
ASUS GeForce GTX 1660 Super Mini,GeForce GTX 1660 Super,6,120
ASUS GeForce GTX 1660 Super Phoenix,GeForce GTX 1660 Super,6,125
ASUS GeForce GTX 1660 Super ROG Strix,GeForce GTX 1660 Super,6,125
ASUS GeForce GTX 1660 Super ROG Strix A,GeForce GTX 1660 Super,6,125
ASUS GeForce GTX 1660 Super TUF,GeForce GTX 1660 Super,6,125
ASUS GeForce GTX 1660 Super TUF O6G Gaming,GeForce GTX 1660 Super,6,125
ASUS GeForce GTX 1660 Ti Dual O6G,GeForce GTX 1660 Ti (6GB),6,120
ASUS GeForce GTX 1660 Ti Phoenix O6G,GeForce GTX 1660 Ti (6GB),6,120
ASUS GeForce GTX 1660 Ti ROG STRIX O6G,GeForce GTX 1660 Ti (6GB),6,120
ASUS GeForce GTX 1660 Ti TUF 6G Evo,GeForce GTX 1660 Ti (6GB),6,130
ASUS GeForce GTX 1660 Ti TUF O6G Evo,GeForce GTX 1660 Ti (6GB),6,130
ASUS GeForce GTX 1660 TUF,GeForce GTX 1660 (6GB),6,120
ASUS GeForce GTX 1660 TUF X3,GeForce GTX 1660 (6GB),6,120
ASUS GeForce GTX 1660 TUF X3 A,GeForce GTX 1660 (6GB),6,120
Asus GeForce GTX 660 Ti,GeForce GTX 660 Ti,2,150
ASUS GeForce GTX 750 Ti STRIX OC,GeForce GTX 750 Ti,2,60
ASUS GeForce RTX 2060 Dual 6G EVO,GeForce RTX 2060 (6GB),6,160
ASUS GeForce RTX 2060 Dual A6G,GeForce RTX 2060 (6GB),6,160
ASUS GeForce RTX 2060 Dual A6G EVO,GeForce RTX 2060 (6GB),6,160
ASUS GeForce RTX 2060 Dual Mini,GeForce RTX 2060 (6GB),6,160
ASUS GeForce RTX 2060 Dual O6G EVO,GeForce RTX 2060 (6GB),6,160
ASUS GeForce RTX 2060 Phoenix 6G,GeForce RTX 2060 (6GB),6,160
ASUS GeForce RTX 2060 ROG STRIX 6G,GeForce RTX 2060 (6GB),6,160
ASUS GeForce RTX 2060 ROG Strix 6G Evo,GeForce RTX 2060 (6GB),6,500
ASUS GeForce RTX 2060 ROG STRIX A6G,GeForce RTX 2060 (6GB),6,190
ASUS GeForce RTX 2060 ROG Strix A6G Evo,GeForce RTX 2060 (6GB),6,500
ASUS GeForce RTX 2060 ROG STRIX O6G,GeForce RTX 2060 (6GB),6,160
ASUS GeForce RTX 2060 ROG Strix O6G Evo,GeForce RTX 2060 (6GB),6,500
ASUS GeForce RTX 2060 Super 8G Evo V,GeForce RTX 2080 Super,8,175
ASUS GeForce RTX 2060 Super Dual 8G EVO,GeForce RTX 2060 Super,8,175
ASUS GeForce RTX 2060 Super Dual A8G EVO,GeForce RTX 2060 Super,8,175
ASUS GeForce RTX 2060 Super Dual A8G EVO V,GeForce RTX 2060 Super,8,175
ASUS GeForce RTX 2060 Super Dual O8G EVO,GeForce RTX 2060 Super,8,175
ASUS GeForce RTX 2060 Super Dual O8G EVO V,GeForce RTX 2060 Super,8,175
ASUS GeForce RTX 2060 Super ROG Strix 8G EVO,GeForce RTX 2060 Super,8,175
ASUS GeForce RTX 2060 Super ROG Strix 8G Gaming,GeForce RTX 2060 Super,8,175
ASUS GeForce RTX 2060 Super ROG Strix A8G EVO,GeForce RTX 2060 Super,8,175
ASUS GeForce RTX 2060 Super ROG Strix A8G Gaming,GeForce RTX 2060 Super,8,175
ASUS GeForce RTX 2060 Super ROG Strix O8G EVO,GeForce RTX 2060 Super,8,175
ASUS GeForce RTX 2060 Super ROG Strix O8G Gaming,GeForce RTX 2060 Super,8,175
ASUS GeForce RTX 2060 Super Turbo 8G EVO,GeForce RTX 2060 Super,8,175
ASUS GeForce RTX 2060 TUF,GeForce RTX 2060 (6GB),6,160
ASUS GeForce RTX 2060 Turbo 6G,GeForce RTX 2060 (6GB),6,160
ASUS GeForce RTX 2070 Dual 8G EVO,GeForce RTX 2070,8,175
ASUS GeForce RTX 2070 Dual 8G Evo V,GeForce RTX 2070,8,175
ASUS GeForce RTX 2070 Dual A8G,GeForce RTX 2070,8,175
ASUS GeForce RTX 2070 Dual A8G EVO,GeForce RTX 2070,8,175
ASUS GeForce RTX 2070 Dual O8G,GeForce RTX 2070,8,175
ASUS GeForce RTX 2070 Dual O8G Evo V,GeForce RTX 2070,8,175
ASUS GeForce RTX 2070 Mini Dual,GeForce RTX 2070,8,175
ASUS GeForce RTX 2070 ROG STRIX A8G,GeForce RTX 2070,8,175
ASUS GeForce RTX 2070 ROG STRIX O8G,GeForce RTX 2070,8,175
ASUS GeForce RTX 2070 Super Dual 8G Evo,GeForce RTX 2070 Super,8,260
ASUS GeForce RTX 2070 Super Dual A8G Evo,GeForce RTX 2070 Super,8,260
ASUS GeForce RTX 2070 Super Dual O8G Evo,GeForce RTX 2070 Super,8,260
ASUS GeForce RTX 2070 Super ROG Strix 8G Gaming,GeForce RTX 2070 Super,8,260
ASUS GeForce RTX 2070 Super ROG Strix A8G Gaming,GeForce RTX 2070 Super,8,260
ASUS GeForce RTX 2070 Super ROG Strix O8G Gaming,GeForce RTX 2070 Super,8,260
ASUS GeForce RTX 2070 Super Turbo 8G EVO,GeForce RTX 2070 Super,8,260
ASUS GeForce RTX 2070 Turbo 8G,GeForce RTX 2070,8,175
ASUS GeForce RTX 2080 Dual O8G,GeForce RTX 2080,8,225
ASUS GeForce RTX 2080 ROG STRIX O8G Gaming,GeForce RTX 2080,8,225
ASUS GeForce RTX 2080 Super Dual 8G Evo,GeForce RTX 2080 Super,8,250
ASUS GeForce RTX 2080 Super Dual 8G Evo V,GeForce RTX 2080 Super,8,250
ASUS GeForce RTX 2080 Super Dual O8G Evo,GeForce RTX 2080 Super,8,250
ASUS GeForce RTX 2080 Super Dual O8G Evo V,GeForce RTX 2080 Super,8,250
ASUS GeForce RTX 2080 Super ROG Strix 8G Gaming,GeForce RTX 2080 Super,8,250
ASUS GeForce RTX 2080 Super ROG Strix A8G Gaming,GeForce RTX 2080 Super,8,250
ASUS GeForce RTX 2080 Super ROG Strix O8G Gaming,GeForce RTX 2080 Super,8,250
ASUS GeForce RTX 2080 Super ROG Strix O8G White Edition,GeForce RTX 2080 Super,8,250
ASUS GeForce RTX 2080 Super Turbo 8G Evo,GeForce RTX 2080 Super,8,250
ASUS GeForce RTX 2080 Ti Dual 1,GeForce RTX 2080 Ti,11,285
ASUS GeForce RTX 2080 Ti Dual A1,GeForce RTX 2080 Ti,11,250
ASUS GeForce RTX 2080 Ti Dual O1,GeForce RTX 2080 Ti,11,285
ASUS GeForce RTX 2080 Ti ROG Strix 1,GeForce RTX 2080 Ti,11,250
ASUS GeForce RTX 2080 Ti ROG Strix A1,GeForce RTX 2080 Ti,11,285
ASUS GeForce RTX 2080 Ti ROG Strix O1,GeForce RTX 2080 Ti,11,250
ASUS GeForce RTX 2080 Ti ROG Strix O11G White Edition,GeForce RTX 2080 Ti,11,285
ASUS GeForce RTX 2080 Ti Turbo 1,GeForce RTX 2080 Ti,11,285
ASUS GeForce RTX 3050 Dual,GeForce RTX 3050 (6GB),6,70
ASUS GeForce RTX 3050 Low Profile,GeForce RTX 3050 (6GB),6,350
ASUS GeForce RTX 3060 Ti Dual Mini V2 8G LHR,GeForce RTX 3060 Ti,8,225
ASUS GeForce RTX 3060 Ti TUF,GeForce RTX 3060 Ti,8,200
ASUS GeForce RTX 3080 ROG Strix,GeForce RTX 3080 (12GB),12,350
ASUS GeForce RTX 3080 TUF,GeForce RTX 3080 (12GB),12,350
ASUS GeForce RTX 4060 Low Profile O8G BRK,GeForce RTX 4060 (8GB),8,115
ASUS GeForce RTX 4090 ROG Strix BTF,GeForce RTX 4090,24,450
Asus GT1030 2G CSM,GeForce GT 1030,2,30
ASUS GTX 650 Ti Boost DirectCU II OC,GeForce GTX 650 Ti Boost,2,134
ASUS GTX 760 DirectCU II OC,GeForce GTX 760,2,170
Asus PH GT1030 O2G,GeForce GT 1030,2,30
Asus PH GTX 1050 2G,GeForce GTX 1050,2,75
Asus PH GTX 1050TI 4G,GeForce GTX 1050 Ti,4,75
Asus PH GTX 1060 3G,GeForce GTX 1060 (3GB),3,120
Asus PH GTX 1060 6G,GeForce GTX 1060 (6GB),6,120
Asus PH RX 550 4G M7,Radeon RX 550,4,50
Asus R7250 1GD5 V2,Radeon R7 250,1,
Asus R9 270 DirectCU II,Radeon R9 270,2,150
Asus R9 270X DirectCU II,Radeon R9 270X,2,180
ASUS Radeon RX 460 Dual O2G,Radeon RX 460 (2GB),2,75
ASUS Radeon RX 460 STRIX O4G Gaming,Radeon RX 460 (4GB),4,75
ASUS Radeon RX 480 Dual O4G,Radeon RX 480,4,150
ASUS Radeon RX 550 4G,Radeon RX 550,4,50
ASUS Radeon RX 5500 XT Dual O8G Evo,Radeon RX 5500 XT (8GB),8,130
ASUS Radeon RX 5500 XT ROG Strix,Radeon RX 5500 XT (8GB),8,130
ASUS Radeon RX 560 2G,Radeon RX 560,2,80
ASUS Radeon RX 560 4G EVO,Radeon RX 560,4,80
ASUS Radeon RX 560 O2G,Radeon RX 560,2,80
ASUS Radeon RX 560 O4G EVO,Radeon RX 560,4,80
ASUS Radeon RX 560 STRIX 4G Gaming,Radeon RX 560,4,80
ASUS Radeon RX 560 STRIX O4G Gaming,Radeon RX 560,4,80
ASUS Radeon RX 5600 XT ROG Strix,Radeon RX 5600 XT (6GB),6,160
ASUS Radeon RX 5600 XT TUF O6G Evo,Radeon RX 5600 XT (6GB),6,160
ASUS Radeon RX 570 Expedition 4G,Radeon RX 570 (4GB),4,120
ASUS Radeon RX 570 Expedition O4G,Radeon RX 570 (4GB),4,120
ASUS Radeon RX 570 STRIX 4G Gaming,Radeon RX 570 (4GB),4,120
ASUS Radeon RX 570 STRIX O4G Gaming,Radeon RX 570 (4GB),4,120
ASUS Radeon RX 5700,Radeon RX 5700,8,180
ASUS Radeon RX 5700 Dual O8G Evo,Radeon RX 5700,8,180
ASUS Radeon RX 5700 ROG Strix,Radeon RX 5700,8,180
ASUS Radeon RX 5700 TUF,Radeon RX 5700,8,180
ASUS Radeon RX 5700 XT,Radeon RX 5700 XT,8,225
ASUS Radeon RX 5700 XT Dual OC Evo,Radeon RX 5700 XT,8,225
ASUS Radeon RX 5700 XT ROG Strix,Radeon RX 5700 XT,8,225
ASUS Radeon RX 5700 XT TUF,Radeon RX 5700 XT,8,225
ASUS Radeon RX 580 Dual O4G,Radeon RX 580 (4GB),4,185
ASUS Radeon RX 580 Dual O8G,Radeon RX 580 (8GB),8,185
ASUS Radeon RX 580 STRIX 8G Gaming,Radeon RX 580 (8GB),8,185
ASUS Radeon RX 580 STRIX O8G Gaming,Radeon RX 580 (8GB),8,185
ASUS Radeon RX 580 STRIX T8G Gaming,Radeon RX 580 (8GB),8,185
ASUS Radeon RX 590 ROG STRIX 8G Gaming,Radeon RX 590,8,225
ASUS Radeon RX 6400 Dual,Radeon RX 6400,4,53
ASUS Radeon RX 6400 Phoenix,Radeon RX 6400,4,53
ASUS Radeon RX Vega 56 STRIX O8G Gaming,Radeon RX Vega 56,8,250
ASUS Radeon VII,Radeon VII,16,300
ASUS ROG Matrix GTX 780 Ti Platinum,GeForce GTX 780 Ti,3,250
Asus ROG POSEIDON GTX 1080TI P11G GAMING,GeForce GTX 1080 Ti,11,250
Asus ROG STRIX GTX 1050TI 4G GAMING,GeForce GTX 1050 Ti,4,75
Asus ROG STRIX GTX 1050TI O4G GAMING,GeForce GTX 1050 Ti,4,75
Asus ROG STRIX GTX 1060 6G GAMING,GeForce GTX 1060 (6GB),6,120
Asus ROG STRIX GTX 1060 O6G GAMING,GeForce GTX 1060 (6GB),6,120
Asus ROG STRIX GTX 1070 8G GAMING,GeForce GTX 1070,8,150
Asus ROG STRIX GTX 1070TI 8G GAMING,GeForce GTX 1070 Ti,8,180
Asus ROG STRIX GTX 1080 8G GAMING,GeForce GTX 1080,8,180
Asus ROG STRIX GTX 1080 A8G 11GBPS,GeForce GTX 1080,8,180
Asus ROG STRIX GTX 1080 A8G GAMING,GeForce GTX 1080,8,180
Asus ROG STRIX GTX 1080TI 11G GAMING,GeForce GTX 1080 Ti,11,250
Asus ROG STRIX GTX 1080TI O11G GAMING,GeForce GTX 1080 Ti,11,250
Asus ROG STRIX RX 560 O4G EVO GAMING,Radeon RX 560,4,90
Asus ROG STRIX RX 580 8G GAMING,Radeon RX 580 (8GB),8,185
Asus RX 550 2G,Radeon RX 550,2,50
Asus RX 560 4G,Radeon RX 560,4,90
Asus RX 560 O2G,Radeon RX 560,2,90
Asus RX 560 O4G,Radeon RX 560,4,90
Asus Strix Geforce GTX 960,GeForce GTX 960,2,150
Asus Strix Geforce GTX 970,GeForce GTX 970,3.5,225
Asus Strix Geforce GTX 980,GeForce GTX 980,4,300
Asus Strix R9 380X,Radeon R9 380X,4,227
Asus Strix R9 390X,Radeon R9 390X,8,300
Asus Strix RX 470,Radeon RX 470,4,120
ASUS TUF Gaming GeForce GTX 1660 Ti Evo Top Edition,GeForce GTX 1660 Ti (6GB),6,120
ASUS TUF Gaming GeForce RTX 5080 OC Edition,GeForce RTX 5080 (16GB),16,
Asus TURBO GTX 1060 6G,GeForce GTX 1060 (6GB),6,120
Asus TURBO GTX 1070 8G,GeForce GTX 1070,8,150
Asus TURBO GTX 1070TI 8G,GeForce GTX 1070 Ti,8,180
Asus TURBO GTX 1080 8G,GeForce GTX 1080,8,180
Asus TURBO GTX 1080TI 11G,GeForce GTX 1080 Ti,11,250
Club 3D GeForce GTS 450,GeForce GTS 450,1,106
Club 3D R9 280 royalKing,Radeon R9 280,3,250
Club 3D R9 285 royalQueen,Radeon R9 285,2,190
EVGA GeForce GT 1030 SC,GeForce GT 1030,2,30
EVGA GeForce GTX 1050 FTW Gaming ACX 3.0,GeForce GTX 1050,2,75
EVGA GeForce GTX 1050 Gaming,GeForce GTX 1050,2,75
EVGA GeForce GTX 1050 SC Gaming,GeForce GTX 1050,2,75
EVGA GeForce GTX 1050 SSC Gaming ACX 3.0,GeForce GTX 1050,2,75
EVGA GeForce GTX 1050 Ti FTW Gaming,GeForce GTX 1050 Ti,4,75
EVGA GeForce GTX 1050 Ti Gaming ACX 2.0,GeForce GTX 1050 Ti,4,75
EVGA GeForce GTX 1050 Ti SC Gaming ACX 2.0,GeForce GTX 1050 Ti,4,75
EVGA GeForce GTX 1050 Ti SSC Gaming ACX 3.0,GeForce GTX 1050 Ti,4,75
EVGA GeForce GTX 1060,GeForce GTX 1060 (6GB),6,120
EVGA GeForce GTX 1060 FTW Gaming,GeForce GTX 1060 (6GB),6,120
EVGA GeForce GTX 1060 FTW+ Gaming ACX 3.0,GeForce GTX 1060 (3GB),3,120
EVGA GeForce GTX 1060 FTW+ Gaming ACX 3.0,GeForce GTX 1060 (6GB),6,120
EVGA GeForce GTX 1060 FTW2+ Gaming,GeForce GTX 1060 (6GB),6,120
EVGA GeForce GTX 1060 Gaming,GeForce GTX 1060 (3GB),3,120
EVGA GeForce GTX 1060 Gaming,GeForce GTX 1060 (6GB),6,120
EVGA GeForce GTX 1060 Gaming ACX 2.0,GeForce GTX 1060 (3GB),3,120
EVGA GeForce GTX 1060 Gaming ACX 3.0,GeForce GTX 1060 (6GB),6,120
EVGA GeForce GTX 1060 SC Gaming,GeForce GTX 1060 (6GB),6,120
EVGA GeForce GTX 1060 SC Gaming,GeForce GTX 1060 (3GB),3,120
EVGA GeForce GTX 1060 SSC DT Gaming ACX 3.0,GeForce GTX 1060 (6GB),6,120
EVGA GeForce GTX 1060 SSC Gaming ACX 3.0,GeForce GTX 1060 (3GB),3,120
EVGA GeForce GTX 1060 SSC Gaming ACX 3.0,GeForce GTX 1060 (6GB),6,120
EVGA GeForce GTX 1070 Founders Edition,GeForce GTX 1070,8,150
EVGA GeForce GTX 1070 FTW Gaming ACX 3.0,GeForce GTX 1070,8,150
EVGA GeForce GTX 1070 FTW Hybrid Gaming,GeForce GTX 1070,8,150
EVGA GeForce GTX 1070 FTW2 Gaming iCX,GeForce GTX 1070,8,150
EVGA GeForce GTX 1070 Gaming ACX 3.0,GeForce GTX 1070,8,150
EVGA GeForce GTX 1070 Hybrid Gaming,GeForce GTX 1070,8,150
EVGA GeForce GTX 1070 SC 2 Gaming iCX,GeForce GTX 1070,8,150
EVGA GeForce GTX 1070 SC Gaming ACX 3.0,GeForce GTX 1070,8,150
EVGA GeForce GTX 1070 SC Gaming ACX 3.0 Black Edition,GeForce GTX 1070,8,150
EVGA GeForce GTX 1070 Ti FTW Ultra Silent,GeForce GTX 1070 Ti,8,180
EVGA GeForce GTX 1070 Ti FTW2 Gaming iCX,GeForce GTX 1070 Ti,8,180
EVGA GeForce GTX 1070 Ti Gaming,GeForce GTX 1070 Ti,8,180
EVGA GeForce GTX 1070 Ti SC Gaming ACX 3.0 Black Edition,GeForce GTX 1070 Ti,8,180
EVGA GeForce GTX 1070 Ti SC Hybrid,GeForce GTX 1070 Ti,8,180
EVGA GeForce GTX 1080 Classified Gaming ACX 3.0,GeForce GTX 1080,8,180
EVGA GeForce GTX 1080 Founders Edition,GeForce GTX 1080,8,180
EVGA GeForce GTX 1080 FTW DT Gaming ACX 3.0,GeForce GTX 1080,8,180
EVGA GeForce GTX 1080 FTW Gaming ACX 3.0,GeForce GTX 1080,8,180
EVGA GeForce GTX 1080 FTW Hybrid Gaming,GeForce GTX 1080,8,180
EVGA GeForce GTX 1080 FTW2 Gaming iCX,GeForce GTX 1080,8,180
EVGA GeForce GTX 1080 Gaming,GeForce GTX 1080,8,180
EVGA GeForce GTX 1080 Hybrid Gaming,GeForce GTX 1080,8,180
EVGA GeForce GTX 1080 SC 2 Gaming iCX,GeForce GTX 1080,8,180
EVGA GeForce GTX 1080 SC Gaming ACX 3.0,GeForce GTX 1080,8,180
EVGA GeForce GTX 1080 Ti Founders Edition,GeForce GTX 1080 Ti,11,250
EVGA GeForce GTX 1080 Ti FTW3 12 Gbps Elite,GeForce GTX 1080 Ti,11,250
EVGA GeForce GTX 1080 Ti FTW3 Gaming iCX,GeForce GTX 1080 Ti,11,250
EVGA GeForce GTX 1080 Ti FTW3 Hybrid Gaming,GeForce GTX 1080 Ti,11,250
EVGA GeForce GTX 1080 Ti Gaming,GeForce GTX 1080 Ti,11,250
EVGA GeForce GTX 1080 Ti K|NGP|N Gaming,GeForce GTX 1080 Ti,11,250
EVGA GeForce GTX 1080 Ti SC Black Edition iCX,GeForce GTX 1080 Ti,11,250
EVGA GeForce GTX 1080 Ti SC2 Gaming iCX,GeForce GTX 1080 Ti,11,250
EVGA GeForce GTX 1080 Ti SC2 Hybrid Gaming iCX,GeForce GTX 1080 Ti,11,250
EVGA GeForce GTX 1650 KO Ultra Gaming,GeForce GTX 1650 (4GB),4,75
EVGA GeForce GTX 1650 SC Ultra Gaming,GeForce GTX 1650 (4GB),4,85
EVGA GeForce GTX 1650 SC Ultra Gaming GDDR6,GeForce GTX 1650 (4GB),4,75
EVGA GeForce GTX 1650 Super SC Ultra,GeForce GTX 1650 Super,4,100
EVGA GeForce GTX 1660 SC Ultra Gaming,GeForce GTX 1660 (6GB),6,120
EVGA GeForce GTX 1660 Super Black Gaming,GeForce GTX 1660 Super,6,125
EVGA GeForce GTX 1660 Super SC Ultra,GeForce GTX 1660 Super,6,125
EVGA GeForce GTX 1660 Super SC Ultra Black,GeForce GTX 1660 Super,6,125
EVGA GeForce GTX 1660 Ti SC Ultra Gaming,GeForce GTX 1660 Ti (6GB),6,120
EVGA GeForce GTX 1660 Ti XC Black Gaming,GeForce GTX 1660 Ti (6GB),6,130
EVGA GeForce GTX 1660 Ti XC Gaming,GeForce GTX 1660 Ti (6GB),6,130
EVGA GeForce GTX 1660 XC,GeForce GTX 1660 (6GB),6,120
EVGA GeForce GTX 1660 XC Black,GeForce GTX 1660 (6GB),6,120
EVGA GeForce GTX 1660 XC Ultra,GeForce GTX 1660 (6GB),6,120
EVGA GeForce GTX 670 FTW,GeForce GTX 670,2,170
EVGA GeForce GTX 680,GeForce GTX 680,2,195
EVGA GeForce GTX 750 Superclocked,GeForce GTX 750,1,55
EVGA GeForce RTX 2060 KO Gaming,GeForce RTX 2060 (6GB),6,160
EVGA GeForce RTX 2060 KO Ultra Gaming,GeForce RTX 2060 (6GB),6,160
EVGA GeForce RTX 2060 SC Black Gaming,GeForce RTX 2060 (6GB),6,160
EVGA GeForce RTX 2060 SC Gaming,GeForce RTX 2060 (6GB),6,160
EVGA GeForce RTX 2060 Super SC Black,GeForce RTX 2060 Super,8,175
EVGA GeForce RTX 2060 Super SC Ultra Gaming,GeForce RTX 2060 Super,8,175
EVGA GeForce RTX 2060 Super XC Gaming,GeForce RTX 2060 Super,8,175
EVGA GeForce RTX 2060 Super XC Ultra Gaming,GeForce RTX 2060 Super,8,175
EVGA GeForce RTX 2060 XC Black Gaming,GeForce RTX 2060 (6GB),6,160
EVGA GeForce RTX 2060 XC Gaming,GeForce RTX 2060 (6GB),6,160
EVGA GeForce RTX 2060 XC Ultra Black Gaming,GeForce RTX 2060 (6GB),6,160
EVGA GeForce RTX 2060 XC Ultra Gaming,GeForce RTX 2060 (6GB),6,160
EVGA GeForce RTX 2070 Black Edition,GeForce RTX 2070,8,175
EVGA GeForce RTX 2070 Super Black Gaming,GeForce RTX 2070 Super,8,260
EVGA GeForce RTX 2070 Super FTW3 Ultra Gaming,GeForce RTX 2070 Super,8,260
EVGA GeForce RTX 2070 Super FTW3 Ultra+,GeForce RTX 2070 Super,8,215
EVGA GeForce RTX 2070 Super Gaming,GeForce RTX 2070 Super,8,260
EVGA GeForce RTX 2070 Super KO Gaming,GeForce RTX 2070 Super,8,215
EVGA GeForce RTX 2070 Super XC Gaming,GeForce RTX 2070 Super,8,260
